animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
6O7,6.03,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
98V,16.03,4,MB,old,-0.36556122448979594,0.07636911942098915,False,neutral
98V,16.03,4,MB,old,-0.5770408163265306,0.0160313630880579,True,young_enriched
1V8,4.31,4,MB,young,-0.36556122448979594,0.07636911942098915,False,neutral
56R,14.95,4,MB,old,0.48035714285714276,0.03471652593486128,True,neutral
3T5,5.12,4,MB,young,0.26887755102040806,0.30908323281061517,False,neutral
1P5,6.21,4,MB,young,0.26887755102040806,0.30908323281061517,False,neutral
43N,17.0,4,MB,old,0.9033163265306121,0.00043425814234016887,True,old_enriched
3E4,11.99,4,MB,old,0.48035714285714276,0.03471652593486128,True,neutral
5H6,11.03,4,MB,old,0.05739795918367338,0.30908323281061517,False,neutral
6L4,8.2,4,MB,young,0.26887755102040806,0.30908323281061517,False,neutral
7F0,11.2,4,MB,old,-0.1540816326530613,0.21907117008443908,False,neutral
2S2,6.31,4,MB,young,0.48035714285714276,0.03471652593486128,True,neutral
8B3,13.09,4,MB,old,0.05739795918367338,0.30908323281061517,False,neutral
6L4,8.2,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
1P5,6.21,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
2S6,3.17,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
1G8,7.88,4,MB,young,-0.1540816326530613,0.21907117008443908,False,neutral
97R,17.93,4,MB,old,0.48035714285714276,0.03471652593486128,True,neutral
3T5,5.12,4,MB,young,0.48035714285714276,0.03471652593486128,True,neutral
2V1,4.3,4,MB,young,0.48035714285714276,0.03471652593486128,True,neutral
56R,14.95,4,MB,old,-0.1540816326530613,0.21907117008443908,False,neutral
56R,14.95,4,MB,old,0.48035714285714276,0.03471652593486128,True,neutral
3E4,11.99,4,MB,old,0.48035714285714276,0.03471652593486128,True,neutral
1G8,7.88,4,MB,young,-0.1540816326530613,0.21907117008443908,False,neutral
97R,17.93,4,MB,old,-0.1540816326530613,0.21907117008443908,False,neutral
2V1,4.3,4,MB,young,0.26887755102040806,0.30908323281061517,False,neutral
43N,17.0,4,MB,old,-0.1540816326530613,0.21907117008443908,False,neutral
0B9,12.11,4,MB,old,0.26887755102040806,0.30908323281061517,False,neutral
3R7,3.32,4,MB,young,-0.1540816326530613,0.21907117008443908,False,neutral
2S2,6.31,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
1L1,8.17,4,MB,young,0.26887755102040806,0.30908323281061517,False,neutral
2Q0,3.21,4,MB,young,-0.36556122448979594,0.07636911942098915,False,neutral
6D9,13.11,4,MB,old,-0.36556122448979594,0.07636911942098915,False,neutral
56R,14.95,4,MB,old,-0.1540816326530613,0.21907117008443908,False,neutral
56R,14.95,4,MB,old,0.05739795918367338,0.30908323281061517,False,neutral
5H6,11.03,4,MB,old,-0.5770408163265306,0.0160313630880579,True,young_enriched
1L1,8.17,4,MB,young,-0.1540816326530613,0.21907117008443908,False,neutral
1P5,6.21,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
2Q0,3.21,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
1P5,6.21,4,MB,young,-0.36556122448979594,0.07636911942098915,False,neutral
4J6,7.15,4,MB,young,0.26887755102040806,0.30908323281061517,False,neutral
1P5,6.21,4,MB,young,0.26887755102040806,0.30908323281061517,False,neutral
3E4,11.99,4,MB,old,0.26887755102040806,0.30908323281061517,False,neutral
82V,16.01,4,MB,old,0.05739795918367338,0.30908323281061517,False,neutral
3R7,3.32,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
1G8,7.88,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
1P5,6.21,4,MB,young,-0.1540816326530613,0.21907117008443908,False,neutral
0B9,12.11,4,MB,old,-0.1540816326530613,0.21907117008443908,False,neutral
1P5,6.21,4,MB,young,-0.5770408163265306,0.0160313630880579,True,young_enriched
55R,14.97,4,MB,old,0.26887755102040806,0.30908323281061517,False,neutral
4Q6,3.22,4,MB,young,-0.7885204081632653,0.0013268998793727383,True,young_enriched
1P5,6.21,4,MB,young,0.48035714285714276,0.03471652593486128,True,neutral
3R7,3.32,4,MB,young,0.26887755102040806,0.30908323281061517,False,neutral
46Z,13.97,4,MB,old,0.48035714285714276,0.03471652593486128,True,neutral
1P5,6.21,4,MB,young,-0.1540816326530613,0.21907117008443908,False,neutral
0G3,9.1,4,MB,young,0.26887755102040806,0.30908323281061517,False,neutral
1P5,6.21,4,MB,young,0.26887755102040806,0.30908323281061517,False,neutral
4S3,3.18,4,MB,young,-0.1540816326530613,0.21907117008443908,False,neutral
7M4,8.15,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
97R,17.93,4,MB,old,0.05739795918367338,0.30908323281061517,False,neutral
5H6,11.03,4,MB,old,0.6918367346938774,0.005645355850422196,True,old_enriched
1P5,6.21,4,MB,young,-0.36556122448979594,0.07636911942098915,False,neutral
3R7,3.32,4,MB,young,-0.1540816326530613,0.21907117008443908,False,neutral
55R,14.97,4,MB,old,0.26887755102040806,0.30908323281061517,False,neutral
2T6,5.18,4,MB,young,-0.1540816326530613,0.21907117008443908,False,neutral
31S,17.0,4,MB,old,-0.36556122448979594,0.07636911942098915,False,neutral
4Q6,3.22,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
1V8,4.31,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
2S2,6.31,4,MB,young,0.26887755102040806,0.30908323281061517,False,neutral
1P5,6.21,4,MB,young,-0.36556122448979594,0.07636911942098915,False,neutral
3R7,3.32,4,MB,young,-0.5770408163265306,0.0160313630880579,True,young_enriched
2C6,14.03,4,MB,old,-0.1540816326530613,0.21907117008443908,False,neutral
5R4,6.25,4,MB,young,0.9033163265306121,0.00043425814234016887,True,old_enriched
2S2,6.31,4,MB,young,-0.5770408163265306,0.0160313630880579,True,young_enriched
7M4,8.15,4,MB,young,0.48035714285714276,0.03471652593486128,True,neutral
0B9,12.11,4,MB,old,0.48035714285714276,0.03471652593486128,True,neutral
6O7,6.03,4,MB,young,0.48035714285714276,0.03471652593486128,True,neutral
3T5,5.12,4,MB,young,0.48035714285714276,0.03471652593486128,True,neutral
4J6,7.15,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
4J6,7.15,4,MB,young,0.48035714285714276,0.03471652593486128,True,neutral
1V8,4.31,4,MB,young,0.26887755102040806,0.30908323281061517,False,neutral
6O7,6.03,4,MB,young,0.48035714285714276,0.03471652593486128,True,neutral
2S6,3.17,4,MB,young,0.26887755102040806,0.30908323281061517,False,neutral
8B3,13.09,4,MB,old,0.05739795918367338,0.30908323281061517,False,neutral
1P5,6.21,4,MB,young,0.48035714285714276,0.03471652593486128,True,neutral
7F0,11.2,4,MB,old,0.05739795918367338,0.30908323281061517,False,neutral
7F0,11.2,4,MB,old,0.05739795918367338,0.30908323281061517,False,neutral
3R7,3.32,4,MB,young,-0.1540816326530613,0.21907117008443908,False,neutral
2Q0,3.21,4,MB,young,-0.1540816326530613,0.21907117008443908,False,neutral
2V1,4.3,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
3T5,5.12,4,MB,young,-0.5770408163265306,0.0160313630880579,True,young_enriched
31S,17.0,4,MB,old,0.26887755102040806,0.30908323281061517,False,neutral
3R7,3.32,4,MB,young,-0.36556122448979594,0.07636911942098915,False,neutral
55R,14.97,4,MB,old,-0.1540816326530613,0.21907117008443908,False,neutral
97R,17.93,4,MB,old,-0.1540816326530613,0.21907117008443908,False,neutral
8B3,13.09,4,MB,old,0.05739795918367338,0.30908323281061517,False,neutral
56K,19.93,4,MB,old,-0.36556122448979594,0.07636911942098915,False,neutral
37V,15.07,4,MB,old,0.26887755102040806,0.30908323281061517,False,neutral
37V,15.07,4,MB,old,0.05739795918367338,0.30908323281061517,False,neutral
5H6,11.03,4,MB,old,0.05739795918367338,0.30908323281061517,False,neutral
3R7,3.32,4,MB,young,0.26887755102040806,0.30908323281061517,False,neutral
3T5,5.12,4,MB,young,0.26887755102040806,0.30908323281061517,False,neutral
7F0,11.2,4,MB,old,-0.1540816326530613,0.21907117008443908,False,neutral
8I6,9.9,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
2S6,3.17,4,MB,young,0.6918367346938774,0.005645355850422196,True,old_enriched
37V,15.07,4,MB,old,-0.36556122448979594,0.07636911942098915,False,neutral
0B9,12.11,4,MB,old,0.05739795918367338,0.30908323281061517,False,neutral
6L4,8.2,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
41N,16.74,4,MB,old,0.6918367346938774,0.005645355850422196,True,old_enriched
50P,15.59,4,MB,old,0.05739795918367338,0.30908323281061517,False,neutral
5H6,11.03,4,MB,old,0.05739795918367338,0.30908323281061517,False,neutral
1L1,8.17,4,MB,young,-0.36556122448979594,0.07636911942098915,False,neutral
3R7,3.32,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
98V,16.03,4,MB,old,-0.5770408163265306,0.0160313630880579,True,young_enriched
8B3,13.09,4,MB,old,0.48035714285714276,0.03471652593486128,True,neutral
2C6,14.03,4,MB,old,-0.1540816326530613,0.21907117008443908,False,neutral
1L1,8.17,4,MB,young,0.48035714285714276,0.03471652593486128,True,neutral
6O7,6.03,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
1P5,6.21,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
98V,16.03,4,MB,old,0.05739795918367338,0.30908323281061517,False,neutral
2C6,14.03,4,MB,old,0.26887755102040806,0.30908323281061517,False,neutral
37V,15.07,4,MB,old,-0.7885204081632653,0.0013268998793727383,True,young_enriched
1P5,6.21,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
56R,14.95,4,MB,old,-0.36556122448979594,0.07636911942098915,False,neutral
7F0,11.2,4,MB,old,-0.36556122448979594,0.07636911942098915,False,neutral
1L1,8.17,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
2Q0,3.21,4,MB,young,-0.36556122448979594,0.07636911942098915,False,neutral
7M4,8.15,4,MB,young,-0.1540816326530613,0.21907117008443908,False,neutral
31S,17.0,4,MB,old,-0.5770408163265306,0.0160313630880579,True,young_enriched
42T,15.96,4,MB,old,0.26887755102040806,0.30908323281061517,False,neutral
3R7,3.32,4,MB,young,-0.5770408163265306,0.0160313630880579,True,young_enriched
3E4,11.99,4,MB,old,-0.1540816326530613,0.21907117008443908,False,neutral
3R7,3.32,4,MB,young,0.48035714285714276,0.03471652593486128,True,neutral
2C6,14.03,4,MB,old,-0.36556122448979594,0.07636911942098915,False,neutral
2S6,3.17,4,MB,young,0.6918367346938774,0.005645355850422196,True,old_enriched
8B3,13.09,4,MB,old,-0.1540816326530613,0.21907117008443908,False,neutral
7M4,8.15,4,MB,young,0.26887755102040806,0.30908323281061517,False,neutral
1L1,8.17,4,MB,young,-0.36556122448979594,0.07636911942098915,False,neutral
56R,14.95,4,MB,old,0.05739795918367338,0.30908323281061517,False,neutral
5H6,11.03,4,MB,old,0.05739795918367338,0.30908323281061517,False,neutral
1P5,6.21,4,MB,young,0.26887755102040806,0.30908323281061517,False,neutral
2C6,14.03,4,MB,old,-0.1540816326530613,0.21907117008443908,False,neutral
1L1,8.17,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
3E4,11.99,4,MB,old,0.05739795918367338,0.30908323281061517,False,neutral
3E4,11.99,4,MB,old,0.05739795918367338,0.30908323281061517,False,neutral
5R4,6.25,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
46Z,13.97,4,MB,old,0.26887755102040806,0.30908323281061517,False,neutral
4J6,7.15,4,MB,young,-0.36556122448979594,0.07636911942098915,False,neutral
50P,15.59,4,MB,old,0.05739795918367338,0.30908323281061517,False,neutral
2T6,5.18,4,MB,young,0.26887755102040806,0.30908323281061517,False,neutral
56K,19.93,4,MB,old,0.26887755102040806,0.30908323281061517,False,neutral
2Q0,3.21,4,MB,young,-0.1540816326530613,0.21907117008443908,False,neutral
1G8,7.88,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
5R4,6.25,4,MB,young,0.48035714285714276,0.03471652593486128,True,neutral
3R7,3.32,4,MB,young,-0.1540816326530613,0.21907117008443908,False,neutral
3R7,3.32,4,MB,young,-0.1540816326530613,0.21907117008443908,False,neutral
82V,16.01,4,MB,old,0.48035714285714276,0.03471652593486128,True,neutral
8C9,12.12,4,MB,old,0.05739795918367338,0.30908323281061517,False,neutral
8C9,12.12,4,MB,old,0.05739795918367338,0.30908323281061517,False,neutral
6O7,6.03,4,MB,young,-0.36556122448979594,0.07636911942098915,False,neutral
50P,15.59,4,MB,old,0.05739795918367338,0.30908323281061517,False,neutral
37V,15.07,4,MB,old,0.26887755102040806,0.30908323281061517,False,neutral
1G8,7.88,4,MB,young,0.26887755102040806,0.30908323281061517,False,neutral
0B9,12.11,4,MB,old,0.6918367346938774,0.005645355850422196,True,old_enriched
2C6,14.03,4,MB,old,-0.5770408163265306,0.0160313630880579,True,young_enriched
1G8,7.88,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
2S2,6.31,4,MB,young,0.26887755102040806,0.30908323281061517,False,neutral
56R,14.95,4,MB,old,0.48035714285714276,0.03471652593486128,True,neutral
2C6,14.03,4,MB,old,-0.1540816326530613,0.21907117008443908,False,neutral
6D9,13.11,4,MB,old,0.05739795918367338,0.30908323281061517,False,neutral
7F0,11.2,4,MB,old,-0.1540816326530613,0.21907117008443908,False,neutral
7F0,11.2,4,MB,old,-0.1540816326530613,0.21907117008443908,False,neutral
2Q0,3.21,4,MB,young,-0.1540816326530613,0.21907117008443908,False,neutral
56R,14.95,4,MB,old,0.48035714285714276,0.03471652593486128,True,neutral
4J6,7.15,4,MB,young,0.26887755102040806,0.30908323281061517,False,neutral
8I6,9.9,4,MB,young,-0.36556122448979594,0.07636911942098915,False,neutral
2S6,3.17,4,MB,young,-0.1540816326530613,0.21907117008443908,False,neutral
8M0,8.12,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
5R4,6.25,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
5R4,6.25,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
7F0,11.2,4,MB,old,0.05739795918367338,0.30908323281061517,False,neutral
6D9,13.11,4,MB,old,-0.1540816326530613,0.21907117008443908,False,neutral
1P5,6.21,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
1L1,8.17,4,MB,young,-0.1540816326530613,0.21907117008443908,False,neutral
56R,14.95,4,MB,old,0.05739795918367338,0.30908323281061517,False,neutral
97R,17.93,4,MB,old,0.05739795918367338,0.30908323281061517,False,neutral
1L1,8.17,4,MB,young,0.26887755102040806,0.30908323281061517,False,neutral
1T9,4.11,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
1P5,6.21,4,MB,young,-0.1540816326530613,0.21907117008443908,False,neutral
5R4,6.25,4,MB,young,0.26887755102040806,0.30908323281061517,False,neutral
5R4,6.25,4,MB,young,0.48035714285714276,0.03471652593486128,True,neutral
4S3,3.18,4,MB,young,-0.1540816326530613,0.21907117008443908,False,neutral
4S3,3.18,4,MB,young,0.26887755102040806,0.30908323281061517,False,neutral
97R,17.93,4,MB,old,-0.1540816326530613,0.21907117008443908,False,neutral
2C6,14.03,4,MB,old,0.48035714285714276,0.03471652593486128,True,neutral
1P5,6.21,4,MB,young,0.6918367346938774,0.005645355850422196,True,old_enriched
41N,16.74,4,MB,old,-0.36556122448979594,0.07636911942098915,False,neutral
2V1,4.3,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
6O7,6.03,4,MB,young,-0.36556122448979594,0.07636911942098915,False,neutral
6O7,6.03,4,MB,young,-0.1540816326530613,0.21907117008443908,False,neutral
7M4,8.15,4,MB,young,-0.36556122448979594,0.07636911942098915,False,neutral
31S,17.0,4,MB,old,0.05739795918367338,0.30908323281061517,False,neutral
8I6,9.9,4,MB,young,-0.1540816326530613,0.21907117008443908,False,neutral
8M0,8.12,4,MB,young,-0.1540816326530613,0.21907117008443908,False,neutral
8B3,13.09,4,MB,old,0.26887755102040806,0.30908323281061517,False,neutral
56R,14.95,4,MB,old,0.26887755102040806,0.30908323281061517,False,neutral
1G8,7.88,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
1G8,7.88,4,MB,young,0.26887755102040806,0.30908323281061517,False,neutral
1P5,6.21,4,MB,young,-0.36556122448979594,0.07636911942098915,False,neutral
2V1,4.3,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
41N,16.74,4,MB,old,-0.5770408163265306,0.0160313630880579,True,young_enriched
6O7,6.03,4,MB,young,-0.5770408163265306,0.0160313630880579,True,young_enriched
2S6,3.17,4,MB,young,-0.7885204081632653,0.0013268998793727383,True,young_enriched
1G8,7.88,4,MB,young,-0.1540816326530613,0.21907117008443908,False,neutral
2V1,4.3,4,MB,young,-0.1540816326530613,0.21907117008443908,False,neutral
97R,17.93,4,MB,old,0.48035714285714276,0.03471652593486128,True,neutral
91O,15.86,4,MB,old,-0.1540816326530613,0.21907117008443908,False,neutral
1P5,6.21,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
41N,16.74,4,MB,old,-0.1540816326530613,0.21907117008443908,False,neutral
8I6,9.9,4,MB,young,0.26887755102040806,0.30908323281061517,False,neutral
2Q0,3.21,4,MB,young,-0.1540816326530613,0.21907117008443908,False,neutral
56R,14.95,4,MB,old,0.26887755102040806,0.30908323281061517,False,neutral
5H6,11.03,4,MB,old,0.48035714285714276,0.03471652593486128,True,neutral
2S2,6.31,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
1P5,6.21,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
8I6,9.9,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
4J6,7.15,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
31S,17.0,4,MB,old,0.26887755102040806,0.30908323281061517,False,neutral
3E4,11.99,4,MB,old,0.48035714285714276,0.03471652593486128,True,neutral
6D9,13.11,4,MB,old,0.48035714285714276,0.03471652593486128,True,neutral
56R,14.95,4,MB,old,0.05739795918367338,0.30908323281061517,False,neutral
8I6,9.9,4,MB,young,-0.1540816326530613,0.21907117008443908,False,neutral
56R,14.95,4,MB,old,0.05739795918367338,0.30908323281061517,False,neutral
56R,14.95,4,MB,old,0.26887755102040806,0.30908323281061517,False,neutral
3T5,5.12,4,MB,young,0.48035714285714276,0.03471652593486128,True,neutral
1P5,6.21,4,MB,young,-0.1540816326530613,0.21907117008443908,False,neutral
1L1,8.17,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
8B3,13.09,4,MB,old,0.26887755102040806,0.30908323281061517,False,neutral
98V,16.03,4,MB,old,-0.1540816326530613,0.21907117008443908,False,neutral
97R,17.93,4,MB,old,0.26887755102040806,0.30908323281061517,False,neutral
31S,17.0,4,MB,old,0.05739795918367338,0.30908323281061517,False,neutral
56K,19.93,4,MB,old,0.05739795918367338,0.30908323281061517,False,neutral
55R,14.97,4,MB,old,-0.36556122448979594,0.07636911942098915,False,neutral
55R,14.97,4,MB,old,-0.36556122448979594,0.07636911942098915,False,neutral
3T5,5.12,4,MB,young,-0.36556122448979594,0.07636911942098915,False,neutral
2V1,4.3,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
1P5,6.21,4,MB,young,0.48035714285714276,0.03471652593486128,True,neutral
56R,14.95,4,MB,old,-0.36556122448979594,0.07636911942098915,False,neutral
3T5,5.12,4,MB,young,-0.1540816326530613,0.21907117008443908,False,neutral
7F0,11.2,4,MB,old,-0.1540816326530613,0.21907117008443908,False,neutral
55R,14.97,4,MB,old,0.48035714285714276,0.03471652593486128,True,neutral
2C6,14.03,4,MB,old,-0.36556122448979594,0.07636911942098915,False,neutral
6D9,13.11,4,MB,old,0.05739795918367338,0.30908323281061517,False,neutral
1P5,6.21,4,MB,young,-0.1540816326530613,0.21907117008443908,False,neutral
0G3,9.1,4,MB,young,0.26887755102040806,0.30908323281061517,False,neutral
56K,19.93,4,MB,old,-0.1540816326530613,0.21907117008443908,False,neutral
3E4,11.99,4,MB,old,-0.1540816326530613,0.21907117008443908,False,neutral
56R,14.95,4,MB,old,0.26887755102040806,0.30908323281061517,False,neutral
3T5,5.12,4,MB,young,-0.36556122448979594,0.07636911942098915,False,neutral
3R7,3.32,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
3R7,3.32,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
3T5,5.12,4,MB,young,-0.1540816326530613,0.21907117008443908,False,neutral
42T,15.96,4,MB,old,0.05739795918367338,0.30908323281061517,False,neutral
6O7,6.03,4,MB,young,0.6918367346938774,0.005645355850422196,True,old_enriched
3R7,3.32,4,MB,young,0.26887755102040806,0.30908323281061517,False,neutral
37V,15.07,4,MB,old,0.26887755102040806,0.30908323281061517,False,neutral
3T5,5.12,4,MB,young,-0.1540816326530613,0.21907117008443908,False,neutral
7M4,8.15,4,MB,young,-0.5770408163265306,0.0160313630880579,True,young_enriched
1P5,6.21,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
6L4,8.2,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
4J6,7.15,4,MB,young,-0.1540816326530613,0.21907117008443908,False,neutral
55R,14.97,4,MB,old,0.6918367346938774,0.005645355850422196,True,old_enriched
55R,14.97,4,MB,old,0.05739795918367338,0.30908323281061517,False,neutral
41N,16.74,4,MB,old,-0.5770408163265306,0.0160313630880579,True,young_enriched
1V8,4.31,4,MB,young,-0.36556122448979594,0.07636911942098915,False,neutral
82V,16.01,4,MB,old,-0.1540816326530613,0.21907117008443908,False,neutral
3R7,3.32,4,MB,young,-0.36556122448979594,0.07636911942098915,False,neutral
2S6,3.17,4,MB,young,0.26887755102040806,0.30908323281061517,False,neutral
4S3,3.18,4,MB,young,-0.5770408163265306,0.0160313630880579,True,young_enriched
3R7,3.32,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
3T5,5.12,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
1P5,6.21,4,MB,young,-0.36556122448979594,0.07636911942098915,False,neutral
6O7,6.03,4,MB,young,-0.1540816326530613,0.21907117008443908,False,neutral
3E4,11.99,4,MB,old,-0.1540816326530613,0.21907117008443908,False,neutral
4S3,3.18,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
56R,14.95,4,MB,old,-0.1540816326530613,0.21907117008443908,False,neutral
55R,14.97,4,MB,old,-0.1540816326530613,0.21907117008443908,False,neutral
7F0,11.2,4,MB,old,0.26887755102040806,0.30908323281061517,False,neutral
6O7,6.03,4,MB,young,-0.5770408163265306,0.0160313630880579,True,young_enriched
1P5,6.21,4,MB,young,-0.36556122448979594,0.07636911942098915,False,neutral
3R7,3.32,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
43N,17.0,4,MB,old,-0.5770408163265306,0.0160313630880579,True,young_enriched
82V,16.01,4,MB,old,0.26887755102040806,0.30908323281061517,False,neutral
2C6,14.03,4,MB,old,0.05739795918367338,0.30908323281061517,False,neutral
8I6,9.9,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
3T5,5.12,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
0B9,12.11,4,MB,old,0.26887755102040806,0.30908323281061517,False,neutral
5H6,11.03,4,MB,old,0.48035714285714276,0.03471652593486128,True,neutral
31S,17.0,4,MB,old,0.05739795918367338,0.30908323281061517,False,neutral
5H6,11.03,4,MB,old,0.48035714285714276,0.03471652593486128,True,neutral
1P5,6.21,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
8I6,9.9,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
4J6,7.15,4,MB,young,-0.5770408163265306,0.0160313630880579,True,young_enriched
7F0,11.2,4,MB,old,-0.36556122448979594,0.07636911942098915,False,neutral
56R,14.95,4,MB,old,0.26887755102040806,0.30908323281061517,False,neutral
46Z,13.97,4,MB,old,0.26887755102040806,0.30908323281061517,False,neutral
2Q0,3.21,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
5R4,6.25,4,MB,young,-0.36556122448979594,0.07636911942098915,False,neutral
2I1,10.27,4,MB,old,-0.36556122448979594,0.07636911942098915,False,neutral
7F0,11.2,4,MB,old,-0.1540816326530613,0.21907117008443908,False,neutral
98V,16.03,4,MB,old,-0.1540816326530613,0.21907117008443908,False,neutral
56R,14.95,4,MB,old,0.26887755102040806,0.30908323281061517,False,neutral
8B3,13.09,4,MB,old,-0.1540816326530613,0.21907117008443908,False,neutral
82V,16.01,4,MB,old,0.05739795918367338,0.30908323281061517,False,neutral
1P5,6.21,4,MB,young,-0.1540816326530613,0.21907117008443908,False,neutral
2V1,4.3,4,MB,young,0.6918367346938774,0.005645355850422196,True,old_enriched
0B9,12.11,4,MB,old,-0.36556122448979594,0.07636911942098915,False,neutral
3R7,3.32,4,MB,young,-0.5770408163265306,0.0160313630880579,True,young_enriched
55R,14.97,4,MB,old,-0.5770408163265306,0.0160313630880579,True,young_enriched
7M4,8.15,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
1P5,6.21,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
2Q0,3.21,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
37V,15.07,4,MB,old,-0.7885204081632653,0.0013268998793727383,True,young_enriched
8M0,8.12,4,MB,young,-0.5770408163265306,0.0160313630880579,True,young_enriched
98V,16.03,4,MB,old,0.26887755102040806,0.30908323281061517,False,neutral
4J6,7.15,4,MB,young,-0.36556122448979594,0.07636911942098915,False,neutral
3T5,5.12,4,MB,young,-0.1540816326530613,0.21907117008443908,False,neutral
1P5,6.21,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
1P5,6.21,4,MB,young,-0.1540816326530613,0.21907117008443908,False,neutral
8I6,9.9,4,MB,young,-0.1540816326530613,0.21907117008443908,False,neutral
5H6,11.03,4,MB,old,0.26887755102040806,0.30908323281061517,False,neutral
1L1,8.17,4,MB,young,-0.1540816326530613,0.21907117008443908,False,neutral
1G8,7.88,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
97R,17.93,4,MB,old,0.05739795918367338,0.30908323281061517,False,neutral
56R,14.95,4,MB,old,0.26887755102040806,0.30908323281061517,False,neutral
1P5,6.21,4,MB,young,-0.1540816326530613,0.21907117008443908,False,neutral
56R,14.95,4,MB,old,-0.1540816326530613,0.21907117008443908,False,neutral
4J6,7.15,4,MB,young,0.6918367346938774,0.005645355850422196,True,old_enriched
6L4,8.2,4,MB,young,0.26887755102040806,0.30908323281061517,False,neutral
1T9,4.11,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
1P5,6.21,4,MB,young,0.26887755102040806,0.30908323281061517,False,neutral
8M0,8.12,4,MB,young,0.26887755102040806,0.30908323281061517,False,neutral
1L1,8.17,4,MB,young,0.26887755102040806,0.30908323281061517,False,neutral
0B9,12.11,4,MB,old,-0.36556122448979594,0.07636911942098915,False,neutral
1P5,6.21,4,MB,young,-0.36556122448979594,0.07636911942098915,False,neutral
8I6,9.9,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
2S6,3.17,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
5R4,6.25,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
1P5,6.21,4,MB,young,0.05739795918367338,0.30908323281061517,False,neutral
5R4,6.25,4,MB,young,0.26887755102040806,0.30908323281061517,False,neutral
4Q6,3.22,4,MB,young,-0.36556122448979594,0.07636911942098915,False,neutral
1V8,4.31,4,MB,young,0.48035714285714276,0.03471652593486128,True,neutral
3E4,11.99,4,MB,old,-0.36556122448979594,0.07636911942098915,False,neutral
