animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
55R,14.97,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
1G8,7.88,13,CN,young,0.5669421487603308,0.06129535864978903,False,old_enriched
2T2,4.09,13,CN,young,-0.6082644628099173,0.009223628691983123,True,young_enriched
4S3,3.18,13,CN,young,0.37107438016528943,0.06129535864978903,False,neutral
8C9,12.12,13,CN,old,0.17520661157024808,0.40004641350210973,False,neutral
55R,14.97,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
2T2,4.09,13,CN,young,-0.6082644628099173,0.009223628691983123,True,young_enriched
2F2,11.04,13,CN,old,-0.8041322314049587,0.0008481012658227848,True,young_enriched
5H6,11.03,13,CN,old,0.37107438016528943,0.06129535864978903,False,neutral
6L4,8.2,13,CN,young,0.17520661157024808,0.40004641350210973,False,neutral
2V1,4.3,13,CN,young,-0.41239669421487596,0.1560886075949367,False,neutral
43N,17.0,13,CN,old,-0.2165289256198346,0.1560886075949367,False,neutral
2C6,14.03,13,CN,old,-0.6082644628099173,0.009223628691983123,True,young_enriched
3K1,9.01,13,CN,young,0.37107438016528943,0.06129535864978903,False,neutral
3K1,9.01,13,CN,young,-0.020661157024793268,0.353746835443038,False,neutral
3D1,13.11,13,CN,old,-0.2165289256198346,0.1560886075949367,False,neutral
2T2,4.09,13,CN,young,-0.2165289256198346,0.1560886075949367,False,neutral
4Q6,3.22,13,CN,young,-0.020661157024793268,0.353746835443038,False,neutral
5H6,11.03,13,CN,old,0.17520661157024808,0.40004641350210973,False,neutral
6L4,8.2,13,CN,young,0.37107438016528943,0.06129535864978903,False,neutral
6L4,8.2,13,CN,young,-0.8041322314049587,0.0008481012658227848,True,young_enriched
2V1,4.3,13,CN,young,-0.2165289256198346,0.1560886075949367,False,neutral
2Q0,3.21,13,CN,young,-0.6082644628099173,0.009223628691983123,True,young_enriched
2S6,3.17,13,CN,young,0.37107438016528943,0.06129535864978903,False,neutral
55R,14.97,13,CN,old,0.37107438016528943,0.06129535864978903,False,neutral
6L4,8.2,13,CN,young,-0.020661157024793268,0.353746835443038,False,neutral
2V1,4.3,13,CN,young,-0.2165289256198346,0.1560886075949367,False,neutral
8I6,9.9,13,CN,young,0.17520661157024808,0.40004641350210973,False,neutral
37V,15.07,13,CN,old,-0.2165289256198346,0.1560886075949367,False,neutral
2S2,6.31,13,CN,young,-0.020661157024793268,0.353746835443038,False,neutral
56R,14.95,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
8H2,10.13,13,CN,old,-0.2165289256198346,0.1560886075949367,False,neutral
0G3,9.1,13,CN,young,0.5669421487603308,0.06129535864978903,False,old_enriched
56R,14.95,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
1G8,7.88,13,CN,young,0.17520661157024808,0.40004641350210973,False,neutral
8H2,10.13,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
2T2,4.09,13,CN,young,-0.2165289256198346,0.1560886075949367,False,neutral
50P,15.59,13,CN,old,0.17520661157024808,0.40004641350210973,False,neutral
8B3,13.09,13,CN,old,-0.2165289256198346,0.1560886075949367,False,neutral
0G3,9.1,13,CN,young,-0.020661157024793268,0.353746835443038,False,neutral
2S2,6.31,13,CN,young,-0.2165289256198346,0.1560886075949367,False,neutral
4J6,7.15,13,CN,young,-0.020661157024793268,0.353746835443038,False,neutral
41N,16.74,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
8M0,8.12,13,CN,young,0.37107438016528943,0.06129535864978903,False,neutral
42T,15.96,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
8I6,9.9,13,CN,young,0.37107438016528943,0.06129535864978903,False,neutral
37V,15.07,13,CN,old,0.37107438016528943,0.06129535864978903,False,neutral
8H2,10.13,13,CN,old,-0.41239669421487596,0.1560886075949367,False,neutral
8H2,10.13,13,CN,old,0.37107438016528943,0.06129535864978903,False,neutral
8H2,10.13,13,CN,old,-0.41239669421487596,0.1560886075949367,False,neutral
8B3,13.09,13,CN,old,-0.2165289256198346,0.1560886075949367,False,neutral
2T6,5.18,13,CN,young,-0.41239669421487596,0.1560886075949367,False,neutral
41N,16.74,13,CN,old,0.5669421487603308,0.06129535864978903,False,old_enriched
0G3,9.1,13,CN,young,-0.020661157024793268,0.353746835443038,False,neutral
3E4,11.99,13,CN,old,0.7628099173553721,0.012552742616033756,True,old_enriched
55R,14.97,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
3D1,13.11,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
8B3,13.09,13,CN,old,-0.2165289256198346,0.1560886075949367,False,neutral
41N,16.74,13,CN,old,0.7628099173553721,0.012552742616033756,True,old_enriched
3D1,13.11,13,CN,old,-0.41239669421487596,0.1560886075949367,False,neutral
1G8,7.88,13,CN,young,-0.2165289256198346,0.1560886075949367,False,neutral
2T6,5.18,13,CN,young,-0.020661157024793268,0.353746835443038,False,neutral
8H2,10.13,13,CN,old,0.37107438016528943,0.06129535864978903,False,neutral
50P,15.59,13,CN,old,0.5669421487603308,0.06129535864978903,False,old_enriched
4J6,7.15,13,CN,young,-0.020661157024793268,0.353746835443038,False,neutral
5H6,11.03,13,CN,old,-0.2165289256198346,0.1560886075949367,False,neutral
0G3,9.1,13,CN,young,0.17520661157024808,0.40004641350210973,False,neutral
1T9,4.11,13,CN,young,0.17520661157024808,0.40004641350210973,False,neutral
2S2,6.31,13,CN,young,-0.2165289256198346,0.1560886075949367,False,neutral
3T5,5.12,13,CN,young,-0.020661157024793268,0.353746835443038,False,neutral
8B3,13.09,13,CN,old,-0.6082644628099173,0.009223628691983123,True,young_enriched
4S3,3.18,13,CN,young,-0.020661157024793268,0.353746835443038,False,neutral
3D1,13.11,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
1G8,7.88,13,CN,young,-0.020661157024793268,0.353746835443038,False,neutral
97R,17.93,13,CN,old,0.17520661157024808,0.40004641350210973,False,neutral
31S,17.0,13,CN,old,0.17520661157024808,0.40004641350210973,False,neutral
91O,15.86,13,CN,old,0.17520661157024808,0.40004641350210973,False,neutral
4S3,3.18,13,CN,young,-0.2165289256198346,0.1560886075949367,False,neutral
1V8,4.31,13,CN,young,0.5669421487603308,0.06129535864978903,False,old_enriched
3D1,13.11,13,CN,old,0.17520661157024808,0.40004641350210973,False,neutral
3T5,5.12,13,CN,young,-0.020661157024793268,0.353746835443038,False,neutral
3T5,5.12,13,CN,young,-0.020661157024793268,0.353746835443038,False,neutral
1G8,7.88,13,CN,young,0.17520661157024808,0.40004641350210973,False,neutral
98V,16.03,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
97R,17.93,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
46Z,13.97,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
2I1,10.27,13,CN,old,0.17520661157024808,0.40004641350210973,False,neutral
8M0,8.12,13,CN,young,0.37107438016528943,0.06129535864978903,False,neutral
8H2,10.13,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
2T2,4.09,13,CN,young,-0.41239669421487596,0.1560886075949367,False,neutral
2T2,4.09,13,CN,young,-0.6082644628099173,0.009223628691983123,True,young_enriched
6L4,8.2,13,CN,young,-0.2165289256198346,0.1560886075949367,False,neutral
41N,16.74,13,CN,old,0.17520661157024808,0.40004641350210973,False,neutral
82V,16.01,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
2S6,3.17,13,CN,young,0.17520661157024808,0.40004641350210973,False,neutral
55R,14.97,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
1G8,7.88,13,CN,young,0.17520661157024808,0.40004641350210973,False,neutral
31S,17.0,13,CN,old,-0.2165289256198346,0.1560886075949367,False,neutral
46Z,13.97,13,CN,old,0.37107438016528943,0.06129535864978903,False,neutral
1V8,4.31,13,CN,young,-0.020661157024793268,0.353746835443038,False,neutral
37V,15.07,13,CN,old,0.17520661157024808,0.40004641350210973,False,neutral
55R,14.97,13,CN,old,-0.2165289256198346,0.1560886075949367,False,neutral
3D1,13.11,13,CN,old,0.37107438016528943,0.06129535864978903,False,neutral
3T5,5.12,13,CN,young,-0.020661157024793268,0.353746835443038,False,neutral
42T,15.96,13,CN,old,-0.6082644628099173,0.009223628691983123,True,young_enriched
2T6,5.18,13,CN,young,-0.2165289256198346,0.1560886075949367,False,neutral
31S,17.0,13,CN,old,0.17520661157024808,0.40004641350210973,False,neutral
5H6,11.03,13,CN,old,0.17520661157024808,0.40004641350210973,False,neutral
1V8,4.31,13,CN,young,0.17520661157024808,0.40004641350210973,False,neutral
4Q6,3.22,13,CN,young,0.17520661157024808,0.40004641350210973,False,neutral
5H6,11.03,13,CN,old,0.37107438016528943,0.06129535864978903,False,neutral
41N,16.74,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
55R,14.97,13,CN,old,0.17520661157024808,0.40004641350210973,False,neutral
2T2,4.09,13,CN,young,-0.020661157024793268,0.353746835443038,False,neutral
41N,16.74,13,CN,old,-0.2165289256198346,0.1560886075949367,False,neutral
2V1,4.3,13,CN,young,-0.6082644628099173,0.009223628691983123,True,young_enriched
2C6,14.03,13,CN,old,-0.2165289256198346,0.1560886075949367,False,neutral
8I6,9.9,13,CN,young,-0.020661157024793268,0.353746835443038,False,neutral
2S2,6.31,13,CN,young,-0.020661157024793268,0.353746835443038,False,neutral
4Q6,3.22,13,CN,young,-0.020661157024793268,0.353746835443038,False,neutral
2C6,14.03,13,CN,old,-0.2165289256198346,0.1560886075949367,False,neutral
3E4,11.99,13,CN,old,-0.6082644628099173,0.009223628691983123,True,young_enriched
6D9,13.11,13,CN,old,0.5669421487603308,0.06129535864978903,False,old_enriched
56R,14.95,13,CN,old,-0.41239669421487596,0.1560886075949367,False,neutral
8H2,10.13,13,CN,old,0.37107438016528943,0.06129535864978903,False,neutral
2I1,10.27,13,CN,old,0.17520661157024808,0.40004641350210973,False,neutral
3K1,9.01,13,CN,young,0.37107438016528943,0.06129535864978903,False,neutral
4S3,3.18,13,CN,young,0.37107438016528943,0.06129535864978903,False,neutral
1V8,4.31,13,CN,young,-0.020661157024793268,0.353746835443038,False,neutral
1T9,4.11,13,CN,young,-0.020661157024793268,0.353746835443038,False,neutral
1T9,4.11,13,CN,young,-0.2165289256198346,0.1560886075949367,False,neutral
3D1,13.11,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
8B3,13.09,13,CN,old,0.17520661157024808,0.40004641350210973,False,neutral
2T6,5.18,13,CN,young,-0.2165289256198346,0.1560886075949367,False,neutral
46Z,13.97,13,CN,old,0.37107438016528943,0.06129535864978903,False,neutral
46Z,13.97,13,CN,old,0.37107438016528943,0.06129535864978903,False,neutral
41N,16.74,13,CN,old,0.5669421487603308,0.06129535864978903,False,old_enriched
2V1,4.3,13,CN,young,-0.6082644628099173,0.009223628691983123,True,young_enriched
43N,17.0,13,CN,old,-0.41239669421487596,0.1560886075949367,False,neutral
43N,17.0,13,CN,old,0.37107438016528943,0.06129535864978903,False,neutral
8M0,8.12,13,CN,young,0.37107438016528943,0.06129535864978903,False,neutral
3K1,9.01,13,CN,young,-0.41239669421487596,0.1560886075949367,False,neutral
55R,14.97,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
3T5,5.12,13,CN,young,-0.020661157024793268,0.353746835443038,False,neutral
4S3,3.18,13,CN,young,0.37107438016528943,0.06129535864978903,False,neutral
4Q6,3.22,13,CN,young,-0.2165289256198346,0.1560886075949367,False,neutral
41N,16.74,13,CN,old,0.17520661157024808,0.40004641350210973,False,neutral
2Q0,3.21,13,CN,young,-0.2165289256198346,0.1560886075949367,False,neutral
2S6,3.17,13,CN,young,-0.2165289256198346,0.1560886075949367,False,neutral
50P,15.59,13,CN,old,0.7628099173553721,0.012552742616033756,True,old_enriched
5H6,11.03,13,CN,old,0.17520661157024808,0.40004641350210973,False,neutral
41N,16.74,13,CN,old,0.17520661157024808,0.40004641350210973,False,neutral
1V8,4.31,13,CN,young,-0.020661157024793268,0.353746835443038,False,neutral
1P5,6.21,13,CN,young,-0.41239669421487596,0.1560886075949367,False,neutral
8I6,9.9,13,CN,young,0.37107438016528943,0.06129535864978903,False,neutral
55R,14.97,13,CN,old,0.17520661157024808,0.40004641350210973,False,neutral
4J6,7.15,13,CN,young,0.17520661157024808,0.40004641350210973,False,neutral
5H6,11.03,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
8C9,12.12,13,CN,old,0.17520661157024808,0.40004641350210973,False,neutral
50P,15.59,13,CN,old,-0.41239669421487596,0.1560886075949367,False,neutral
50P,15.59,13,CN,old,0.17520661157024808,0.40004641350210973,False,neutral
46Z,13.97,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
5H6,11.03,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
5H6,11.03,13,CN,old,0.37107438016528943,0.06129535864978903,False,neutral
1V8,4.31,13,CN,young,-0.020661157024793268,0.353746835443038,False,neutral
2V1,4.3,13,CN,young,-0.020661157024793268,0.353746835443038,False,neutral
43N,17.0,13,CN,old,0.37107438016528943,0.06129535864978903,False,neutral
43N,17.0,13,CN,old,0.17520661157024808,0.40004641350210973,False,neutral
1P5,6.21,13,CN,young,-0.8041322314049587,0.0008481012658227848,True,young_enriched
2Q0,3.21,13,CN,young,-0.6082644628099173,0.009223628691983123,True,young_enriched
3T5,5.12,13,CN,young,-0.020661157024793268,0.353746835443038,False,neutral
98V,16.03,13,CN,old,-0.2165289256198346,0.1560886075949367,False,neutral
56K,19.93,13,CN,old,-0.2165289256198346,0.1560886075949367,False,neutral
2C6,14.03,13,CN,old,-0.2165289256198346,0.1560886075949367,False,neutral
3K1,9.01,13,CN,young,-0.41239669421487596,0.1560886075949367,False,neutral
4Q6,3.22,13,CN,young,-0.020661157024793268,0.353746835443038,False,neutral
8C9,12.12,13,CN,old,0.5669421487603308,0.06129535864978903,False,old_enriched
8C9,12.12,13,CN,old,-0.2165289256198346,0.1560886075949367,False,neutral
1G8,7.88,13,CN,young,0.17520661157024808,0.40004641350210973,False,neutral
91O,15.86,13,CN,old,0.37107438016528943,0.06129535864978903,False,neutral
46Z,13.97,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
2I1,10.27,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
2V1,4.3,13,CN,young,-0.41239669421487596,0.1560886075949367,False,neutral
82V,16.01,13,CN,old,0.37107438016528943,0.06129535864978903,False,neutral
6O7,6.03,13,CN,young,-0.6082644628099173,0.009223628691983123,True,young_enriched
56R,14.95,13,CN,old,-0.6082644628099173,0.009223628691983123,True,young_enriched
3D1,13.11,13,CN,old,-0.6082644628099173,0.009223628691983123,True,young_enriched
1L1,8.17,13,CN,young,-0.2165289256198346,0.1560886075949367,False,neutral
8H2,10.13,13,CN,old,0.37107438016528943,0.06129535864978903,False,neutral
41N,16.74,13,CN,old,-0.2165289256198346,0.1560886075949367,False,neutral
2I1,10.27,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
1L1,8.17,13,CN,young,0.17520661157024808,0.40004641350210973,False,neutral
56K,19.93,13,CN,old,-0.2165289256198346,0.1560886075949367,False,neutral
43N,17.0,13,CN,old,0.17520661157024808,0.40004641350210973,False,neutral
1T9,4.11,13,CN,young,0.37107438016528943,0.06129535864978903,False,neutral
6O7,6.03,13,CN,young,-0.2165289256198346,0.1560886075949367,False,neutral
6D9,13.11,13,CN,old,0.17520661157024808,0.40004641350210973,False,neutral
37V,15.07,13,CN,old,0.17520661157024808,0.40004641350210973,False,neutral
3K1,9.01,13,CN,young,-0.020661157024793268,0.353746835443038,False,neutral
5R4,6.25,13,CN,young,-0.41239669421487596,0.1560886075949367,False,neutral
97R,17.93,13,CN,old,-0.2165289256198346,0.1560886075949367,False,neutral
8B3,13.09,13,CN,old,-0.41239669421487596,0.1560886075949367,False,neutral
4S3,3.18,13,CN,young,-0.41239669421487596,0.1560886075949367,False,neutral
46Z,13.97,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
6O7,6.03,13,CN,young,0.17520661157024808,0.40004641350210973,False,neutral
55R,14.97,13,CN,old,0.37107438016528943,0.06129535864978903,False,neutral
2F2,11.04,13,CN,old,-0.6082644628099173,0.009223628691983123,True,young_enriched
8B3,13.09,13,CN,old,0.17520661157024808,0.40004641350210973,False,neutral
43N,17.0,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
0B9,12.11,13,CN,old,0.17520661157024808,0.40004641350210973,False,neutral
55R,14.97,13,CN,old,0.5669421487603308,0.06129535864978903,False,old_enriched
3D1,13.11,13,CN,old,-0.2165289256198346,0.1560886075949367,False,neutral
3D1,13.11,13,CN,old,-0.2165289256198346,0.1560886075949367,False,neutral
8H2,10.13,13,CN,old,0.17520661157024808,0.40004641350210973,False,neutral
97R,17.93,13,CN,old,0.37107438016528943,0.06129535864978903,False,neutral
74K,20.81,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
1T9,4.11,13,CN,young,0.17520661157024808,0.40004641350210973,False,neutral
1T9,4.11,13,CN,young,-0.41239669421487596,0.1560886075949367,False,neutral
6D9,13.11,13,CN,old,-0.41239669421487596,0.1560886075949367,False,neutral
56R,14.95,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
55R,14.97,13,CN,old,0.5669421487603308,0.06129535864978903,False,old_enriched
3D1,13.11,13,CN,old,-0.2165289256198346,0.1560886075949367,False,neutral
3D1,13.11,13,CN,old,0.37107438016528943,0.06129535864978903,False,neutral
2T2,4.09,13,CN,young,0.37107438016528943,0.06129535864978903,False,neutral
7M4,8.15,13,CN,young,-0.2165289256198346,0.1560886075949367,False,neutral
97R,17.93,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
1L1,8.17,13,CN,young,-0.020661157024793268,0.353746835443038,False,neutral
82V,16.01,13,CN,old,-0.2165289256198346,0.1560886075949367,False,neutral
82V,16.01,13,CN,old,-0.2165289256198346,0.1560886075949367,False,neutral
43N,17.0,13,CN,old,-0.2165289256198346,0.1560886075949367,False,neutral
8I6,9.9,13,CN,young,-0.020661157024793268,0.353746835443038,False,neutral
6D9,13.11,13,CN,old,0.37107438016528943,0.06129535864978903,False,neutral
55R,14.97,13,CN,old,0.17520661157024808,0.40004641350210973,False,neutral
2T2,4.09,13,CN,young,-0.020661157024793268,0.353746835443038,False,neutral
46Z,13.97,13,CN,old,0.5669421487603308,0.06129535864978903,False,old_enriched
4Q6,3.22,13,CN,young,-0.2165289256198346,0.1560886075949367,False,neutral
2Q0,3.21,13,CN,young,-0.020661157024793268,0.353746835443038,False,neutral
6D9,13.11,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
37V,15.07,13,CN,old,0.17520661157024808,0.40004641350210973,False,neutral
2S2,6.31,13,CN,young,0.5669421487603308,0.06129535864978903,False,old_enriched
8H2,10.13,13,CN,old,-0.2165289256198346,0.1560886075949367,False,neutral
8H2,10.13,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
4J6,7.15,13,CN,young,0.37107438016528943,0.06129535864978903,False,neutral
4J6,7.15,13,CN,young,-0.2165289256198346,0.1560886075949367,False,neutral
41N,16.74,13,CN,old,0.17520661157024808,0.40004641350210973,False,neutral
82V,16.01,13,CN,old,0.9586776859504135,0.0010928270042194093,True,old_enriched
82V,16.01,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
6O7,6.03,13,CN,young,-0.2165289256198346,0.1560886075949367,False,neutral
3K1,9.01,13,CN,young,0.37107438016528943,0.06129535864978903,False,neutral
55R,14.97,13,CN,old,0.37107438016528943,0.06129535864978903,False,neutral
5R4,6.25,13,CN,young,0.37107438016528943,0.06129535864978903,False,neutral
2T2,4.09,13,CN,young,0.17520661157024808,0.40004641350210973,False,neutral
77V,16.15,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
74K,20.81,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
43N,17.0,13,CN,old,0.17520661157024808,0.40004641350210973,False,neutral
1T9,4.11,13,CN,young,-0.41239669421487596,0.1560886075949367,False,neutral
1G8,7.88,13,CN,young,-0.2165289256198346,0.1560886075949367,False,neutral
8B3,13.09,13,CN,old,0.5669421487603308,0.06129535864978903,False,old_enriched
4Q6,3.22,13,CN,young,-0.41239669421487596,0.1560886075949367,False,neutral
5H6,11.03,13,CN,old,-0.2165289256198346,0.1560886075949367,False,neutral
1V8,4.31,13,CN,young,-0.2165289256198346,0.1560886075949367,False,neutral
1T9,4.11,13,CN,young,-0.41239669421487596,0.1560886075949367,False,neutral
3E4,11.99,13,CN,old,-0.2165289256198346,0.1560886075949367,False,neutral
2Q0,3.21,13,CN,young,-0.2165289256198346,0.1560886075949367,False,neutral
37V,15.07,13,CN,old,-0.41239669421487596,0.1560886075949367,False,neutral
56R,14.95,13,CN,old,-0.41239669421487596,0.1560886075949367,False,neutral
5H6,11.03,13,CN,old,-0.41239669421487596,0.1560886075949367,False,neutral
1V8,4.31,13,CN,young,0.17520661157024808,0.40004641350210973,False,neutral
82V,16.01,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
56R,14.95,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
98V,16.03,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
46Z,13.97,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
4Q6,3.22,13,CN,young,-0.020661157024793268,0.353746835443038,False,neutral
41N,16.74,13,CN,old,-0.2165289256198346,0.1560886075949367,False,neutral
2V1,4.3,13,CN,young,-0.41239669421487596,0.1560886075949367,False,neutral
77V,16.15,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
74K,20.81,13,CN,old,-0.41239669421487596,0.1560886075949367,False,neutral
8I6,9.9,13,CN,young,0.17520661157024808,0.40004641350210973,False,neutral
2S6,3.17,13,CN,young,-0.020661157024793268,0.353746835443038,False,neutral
55R,14.97,13,CN,old,0.37107438016528943,0.06129535864978903,False,neutral
3D1,13.11,13,CN,old,-0.2165289256198346,0.1560886075949367,False,neutral
2T2,4.09,13,CN,young,0.7628099173553721,0.012552742616033756,True,old_enriched
42T,15.96,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
46Z,13.97,13,CN,old,0.17520661157024808,0.40004641350210973,False,neutral
1G8,7.88,13,CN,young,0.17520661157024808,0.40004641350210973,False,neutral
2F2,11.04,13,CN,old,0.37107438016528943,0.06129535864978903,False,neutral
1V8,4.31,13,CN,young,-0.6082644628099173,0.009223628691983123,True,young_enriched
2S2,6.31,13,CN,young,0.17520661157024808,0.40004641350210973,False,neutral
3T5,5.12,13,CN,young,0.17520661157024808,0.40004641350210973,False,neutral
91O,15.86,13,CN,old,-0.2165289256198346,0.1560886075949367,False,neutral
46Z,13.97,13,CN,old,-0.2165289256198346,0.1560886075949367,False,neutral
0G3,9.1,13,CN,young,-0.6082644628099173,0.009223628691983123,True,young_enriched
55R,14.97,13,CN,old,0.17520661157024808,0.40004641350210973,False,neutral
3D1,13.11,13,CN,old,0.37107438016528943,0.06129535864978903,False,neutral
5R4,6.25,13,CN,young,-0.2165289256198346,0.1560886075949367,False,neutral
98V,16.03,13,CN,old,-0.41239669421487596,0.1560886075949367,False,neutral
5H6,11.03,13,CN,old,-0.2165289256198346,0.1560886075949367,False,neutral
1P5,6.21,13,CN,young,-0.2165289256198346,0.1560886075949367,False,neutral
2S2,6.31,13,CN,young,-0.020661157024793268,0.353746835443038,False,neutral
42T,15.96,13,CN,old,-0.8041322314049587,0.0008481012658227848,True,young_enriched
91O,15.86,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
46Z,13.97,13,CN,old,0.5669421487603308,0.06129535864978903,False,old_enriched
0G3,9.1,13,CN,young,-0.2165289256198346,0.1560886075949367,False,neutral
8M0,8.12,13,CN,young,-0.41239669421487596,0.1560886075949367,False,neutral
3T5,5.12,13,CN,young,-0.2165289256198346,0.1560886075949367,False,neutral
3T5,5.12,13,CN,young,0.17520661157024808,0.40004641350210973,False,neutral
97R,17.93,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
97R,17.93,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
4J6,7.15,13,CN,young,-0.41239669421487596,0.1560886075949367,False,neutral
74K,20.81,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
50P,15.59,13,CN,old,-0.6082644628099173,0.009223628691983123,True,young_enriched
8B3,13.09,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
4J6,7.15,13,CN,young,0.5669421487603308,0.06129535864978903,False,old_enriched
5H6,11.03,13,CN,old,-0.2165289256198346,0.1560886075949367,False,neutral
2V1,4.3,13,CN,young,-0.41239669421487596,0.1560886075949367,False,neutral
0G3,9.1,13,CN,young,-0.2165289256198346,0.1560886075949367,False,neutral
1P5,6.21,13,CN,young,0.17520661157024808,0.40004641350210973,False,neutral
1G8,7.88,13,CN,young,-0.41239669421487596,0.1560886075949367,False,neutral
91O,15.86,13,CN,old,-0.2165289256198346,0.1560886075949367,False,neutral
4Q6,3.22,13,CN,young,-0.41239669421487596,0.1560886075949367,False,neutral
4Q6,3.22,13,CN,young,-0.020661157024793268,0.353746835443038,False,neutral
2I1,10.27,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
0G3,9.1,13,CN,young,-0.020661157024793268,0.353746835443038,False,neutral
6O7,6.03,13,CN,young,-0.020661157024793268,0.353746835443038,False,neutral
3T5,5.12,13,CN,young,-0.41239669421487596,0.1560886075949367,False,neutral
2T2,4.09,13,CN,young,0.17520661157024808,0.40004641350210973,False,neutral
2T2,4.09,13,CN,young,-0.2165289256198346,0.1560886075949367,False,neutral
98V,16.03,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
1V8,4.31,13,CN,young,0.17520661157024808,0.40004641350210973,False,neutral
1T9,4.11,13,CN,young,-0.8041322314049587,0.0008481012658227848,True,young_enriched
3K1,9.01,13,CN,young,-0.2165289256198346,0.1560886075949367,False,neutral
56R,14.95,13,CN,old,-0.2165289256198346,0.1560886075949367,False,neutral
3T5,5.12,13,CN,young,0.37107438016528943,0.06129535864978903,False,neutral
50P,15.59,13,CN,old,0.17520661157024808,0.40004641350210973,False,neutral
46Z,13.97,13,CN,old,-0.41239669421487596,0.1560886075949367,False,neutral
5H6,11.03,13,CN,old,-0.41239669421487596,0.1560886075949367,False,neutral
1L1,8.17,13,CN,young,0.17520661157024808,0.40004641350210973,False,neutral
82V,16.01,13,CN,old,-0.2165289256198346,0.1560886075949367,False,neutral
3E4,11.99,13,CN,old,-0.41239669421487596,0.1560886075949367,False,neutral
2S2,6.31,13,CN,young,-0.6082644628099173,0.009223628691983123,True,young_enriched
2S2,6.31,13,CN,young,0.5669421487603308,0.06129535864978903,False,old_enriched
55R,14.97,13,CN,old,0.17520661157024808,0.40004641350210973,False,neutral
3D1,13.11,13,CN,old,-0.2165289256198346,0.1560886075949367,False,neutral
3D1,13.11,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
3T5,5.12,13,CN,young,0.17520661157024808,0.40004641350210973,False,neutral
8H2,10.13,13,CN,old,0.37107438016528943,0.06129535864978903,False,neutral
2T2,4.09,13,CN,young,-0.020661157024793268,0.353746835443038,False,neutral
2F2,11.04,13,CN,old,0.5669421487603308,0.06129535864978903,False,old_enriched
91O,15.86,13,CN,old,0.37107438016528943,0.06129535864978903,False,neutral
41N,16.74,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
56K,19.93,13,CN,old,-0.2165289256198346,0.1560886075949367,False,neutral
6D9,13.11,13,CN,old,-0.2165289256198346,0.1560886075949367,False,neutral
37V,15.07,13,CN,old,0.37107438016528943,0.06129535864978903,False,neutral
56R,14.95,13,CN,old,-0.020661157024793268,0.353746835443038,False,neutral
