animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
8B3,13.09,10,M1,old,-0.20750988142292487,0.1143142144638404,False,neutral
8M0,8.12,10,M1,young,-0.20750988142292487,0.1143142144638404,False,neutral
8H2,10.13,10,M1,old,0.26798418972332017,0.06708229426433915,False,neutral
43N,17.0,10,M1,old,0.10948616600790517,0.22349127182044887,False,neutral
3T5,5.12,10,M1,young,-0.20750988142292487,0.1143142144638404,False,neutral
74K,20.81,10,M1,old,0.26798418972332017,0.06708229426433915,False,neutral
3E4,11.99,10,M1,old,-0.049011857707509855,0.2857356608478803,False,neutral
31S,17.0,10,M1,old,-0.049011857707509855,0.2857356608478803,False,neutral
91O,15.86,10,M1,old,0.10948616600790517,0.22349127182044887,False,neutral
6D9,13.11,10,M1,old,-0.049011857707509855,0.2857356608478803,False,neutral
37V,15.07,10,M1,old,-0.20750988142292487,0.1143142144638404,False,neutral
77V,16.15,10,M1,old,0.10948616600790517,0.22349127182044887,False,neutral
2S2,6.31,10,M1,young,-0.20750988142292487,0.1143142144638404,False,neutral
3T5,5.12,10,M1,young,-0.049011857707509855,0.2857356608478803,False,neutral
41N,16.74,10,M1,old,0.26798418972332017,0.06708229426433915,False,neutral
1L1,8.17,10,M1,young,-0.049011857707509855,0.2857356608478803,False,neutral
7M4,8.15,10,M1,young,0.4264822134387352,0.009825436408977557,True,neutral
1V8,4.31,10,M1,young,-0.049011857707509855,0.2857356608478803,False,neutral
2C6,14.03,10,M1,old,0.10948616600790517,0.22349127182044887,False,neutral
3T5,5.12,10,M1,young,-0.3660079051383399,0.03129675810473816,True,neutral
82V,16.01,10,M1,old,0.10948616600790517,0.22349127182044887,False,neutral
2T6,5.18,10,M1,young,-0.20750988142292487,0.1143142144638404,False,neutral
56K,19.93,10,M1,old,-0.049011857707509855,0.2857356608478803,False,neutral
77V,16.15,10,M1,old,0.26798418972332017,0.06708229426433915,False,neutral
3D1,13.11,10,M1,old,-0.049011857707509855,0.2857356608478803,False,neutral
77V,16.15,10,M1,old,0.5849802371541503,0.009825436408977557,True,old_enriched
2C6,14.03,10,M1,old,0.10948616600790517,0.22349127182044887,False,neutral
77V,16.15,10,M1,old,-0.3660079051383399,0.03129675810473816,True,neutral
6L4,8.2,10,M1,young,0.4264822134387352,0.009825436408977557,True,neutral
2S6,3.17,10,M1,young,-0.3660079051383399,0.03129675810473816,True,neutral
1T9,4.11,10,M1,young,-0.5245059288537549,0.005635910224438902,True,young_enriched
4S3,3.18,10,M1,young,-0.3660079051383399,0.03129675810473816,True,neutral
43N,17.0,10,M1,old,-0.049011857707509855,0.2857356608478803,False,neutral
8H2,10.13,10,M1,old,-0.20750988142292487,0.1143142144638404,False,neutral
42T,15.96,10,M1,old,0.10948616600790517,0.22349127182044887,False,neutral
4J6,7.15,10,M1,young,-0.049011857707509855,0.2857356608478803,False,neutral
56R,14.95,10,M1,old,0.10948616600790517,0.22349127182044887,False,neutral
2S2,6.31,10,M1,young,-0.049011857707509855,0.2857356608478803,False,neutral
56K,19.93,10,M1,old,-0.049011857707509855,0.2857356608478803,False,neutral
8C9,12.12,10,M1,old,-0.20750988142292487,0.1143142144638404,False,neutral
2S2,6.31,10,M1,young,-0.20750988142292487,0.1143142144638404,False,neutral
3K1,9.01,10,M1,young,0.4264822134387352,0.009825436408977557,True,neutral
2V1,4.3,10,M1,young,-0.049011857707509855,0.2857356608478803,False,neutral
77V,16.15,10,M1,old,-0.20750988142292487,0.1143142144638404,False,neutral
8I6,9.9,10,M1,young,-0.3660079051383399,0.03129675810473816,True,neutral
2S6,3.17,10,M1,young,0.10948616600790517,0.22349127182044887,False,neutral
91O,15.86,10,M1,old,-0.049011857707509855,0.2857356608478803,False,neutral
8M0,8.12,10,M1,young,-0.20750988142292487,0.1143142144638404,False,neutral
3E4,11.99,10,M1,old,-0.049011857707509855,0.2857356608478803,False,neutral
97R,17.93,10,M1,old,-0.049011857707509855,0.2857356608478803,False,neutral
31S,17.0,10,M1,old,0.26798418972332017,0.06708229426433915,False,neutral
56K,19.93,10,M1,old,0.5849802371541503,0.009825436408977557,True,old_enriched
56K,19.93,10,M1,old,0.26798418972332017,0.06708229426433915,False,neutral
8I6,9.9,10,M1,young,-0.049011857707509855,0.2857356608478803,False,neutral
3K1,9.01,10,M1,young,0.26798418972332017,0.06708229426433915,False,neutral
77V,16.15,10,M1,old,-0.049011857707509855,0.2857356608478803,False,neutral
7M4,8.15,10,M1,young,-0.20750988142292487,0.1143142144638404,False,neutral
7F0,11.2,10,M1,old,0.26798418972332017,0.06708229426433915,False,neutral
56K,19.93,10,M1,old,-0.049011857707509855,0.2857356608478803,False,neutral
77V,16.15,10,M1,old,-0.20750988142292487,0.1143142144638404,False,neutral
56K,19.93,10,M1,old,0.10948616600790517,0.22349127182044887,False,neutral
7F0,11.2,10,M1,old,-0.049011857707509855,0.2857356608478803,False,neutral
91O,15.86,10,M1,old,0.26798418972332017,0.06708229426433915,False,neutral
3D1,13.11,10,M1,old,-0.5245059288537549,0.005635910224438902,True,young_enriched
31S,17.0,10,M1,old,0.4264822134387352,0.009825436408977557,True,neutral
82V,16.01,10,M1,old,0.26798418972332017,0.06708229426433915,False,neutral
8B3,13.09,10,M1,old,0.4264822134387352,0.009825436408977557,True,neutral
6L4,8.2,10,M1,young,-0.5245059288537549,0.005635910224438902,True,young_enriched
56K,19.93,10,M1,old,-0.049011857707509855,0.2857356608478803,False,neutral
3D1,13.11,10,M1,old,0.10948616600790517,0.22349127182044887,False,neutral
1T9,4.11,10,M1,young,-0.20750988142292487,0.1143142144638404,False,neutral
2V1,4.3,10,M1,young,-0.049011857707509855,0.2857356608478803,False,neutral
3D1,13.11,10,M1,old,-0.049011857707509855,0.2857356608478803,False,neutral
3E4,11.99,10,M1,old,-0.049011857707509855,0.2857356608478803,False,neutral
2V1,4.3,10,M1,young,-0.049011857707509855,0.2857356608478803,False,neutral
50P,15.59,10,M1,old,0.4264822134387352,0.009825436408977557,True,neutral
2V1,4.3,10,M1,young,-0.049011857707509855,0.2857356608478803,False,neutral
3K1,9.01,10,M1,young,0.26798418972332017,0.06708229426433915,False,neutral
4S3,3.18,10,M1,young,-0.20750988142292487,0.1143142144638404,False,neutral
98V,16.03,10,M1,old,-0.049011857707509855,0.2857356608478803,False,neutral
74K,20.81,10,M1,old,-0.20750988142292487,0.1143142144638404,False,neutral
77V,16.15,10,M1,old,-0.049011857707509855,0.2857356608478803,False,neutral
77V,16.15,10,M1,old,0.4264822134387352,0.009825436408977557,True,neutral
97R,17.93,10,M1,old,0.10948616600790517,0.22349127182044887,False,neutral
7F0,11.2,10,M1,old,0.26798418972332017,0.06708229426433915,False,neutral
7F0,11.2,10,M1,old,-0.049011857707509855,0.2857356608478803,False,neutral
1G8,7.88,10,M1,young,-0.20750988142292487,0.1143142144638404,False,neutral
98V,16.03,10,M1,old,-0.049011857707509855,0.2857356608478803,False,neutral
97R,17.93,10,M1,old,-0.20750988142292487,0.1143142144638404,False,neutral
8B3,13.09,10,M1,old,0.10948616600790517,0.22349127182044887,False,neutral
2T2,4.09,10,M1,young,-0.049011857707509855,0.2857356608478803,False,neutral
6D9,13.11,10,M1,old,-0.3660079051383399,0.03129675810473816,True,neutral
31S,17.0,10,M1,old,0.26798418972332017,0.06708229426433915,False,neutral
8I6,9.9,10,M1,young,-0.049011857707509855,0.2857356608478803,False,neutral
4S3,3.18,10,M1,young,-0.20750988142292487,0.1143142144638404,False,neutral
6D9,13.11,10,M1,old,0.5849802371541503,0.009825436408977557,True,old_enriched
98V,16.03,10,M1,old,-0.20750988142292487,0.1143142144638404,False,neutral
2S2,6.31,10,M1,young,-0.049011857707509855,0.2857356608478803,False,neutral
3R7,3.32,10,M1,young,-0.3660079051383399,0.03129675810473816,True,neutral
41N,16.74,10,M1,old,-0.20750988142292487,0.1143142144638404,False,neutral
56K,19.93,10,M1,old,-0.049011857707509855,0.2857356608478803,False,neutral
8B3,13.09,10,M1,old,-0.049011857707509855,0.2857356608478803,False,neutral
8B3,13.09,10,M1,old,-0.3660079051383399,0.03129675810473816,True,neutral
7F0,11.2,10,M1,old,-0.049011857707509855,0.2857356608478803,False,neutral
0B9,12.11,10,M1,old,0.10948616600790517,0.22349127182044887,False,neutral
42T,15.96,10,M1,old,0.4264822134387352,0.009825436408977557,True,neutral
1P5,6.21,10,M1,young,0.10948616600790517,0.22349127182044887,False,neutral
31S,17.0,10,M1,old,-0.049011857707509855,0.2857356608478803,False,neutral
50P,15.59,10,M1,old,0.4264822134387352,0.009825436408977557,True,neutral
91O,15.86,10,M1,old,0.10948616600790517,0.22349127182044887,False,neutral
3E4,11.99,10,M1,old,-0.20750988142292487,0.1143142144638404,False,neutral
82V,16.01,10,M1,old,0.10948616600790517,0.22349127182044887,False,neutral
6D9,13.11,10,M1,old,0.4264822134387352,0.009825436408977557,True,neutral
31S,17.0,10,M1,old,0.26798418972332017,0.06708229426433915,False,neutral
0G3,9.1,10,M1,young,-0.049011857707509855,0.2857356608478803,False,neutral
3K1,9.01,10,M1,young,-0.049011857707509855,0.2857356608478803,False,neutral
3T5,5.12,10,M1,young,-0.3660079051383399,0.03129675810473816,True,neutral
91O,15.86,10,M1,old,0.10948616600790517,0.22349127182044887,False,neutral
46Z,13.97,10,M1,old,-0.049011857707509855,0.2857356608478803,False,neutral
41N,16.74,10,M1,old,0.4264822134387352,0.009825436408977557,True,neutral
8C9,12.12,10,M1,old,-0.049011857707509855,0.2857356608478803,False,neutral
5R4,6.25,10,M1,young,-0.049011857707509855,0.2857356608478803,False,neutral
8B3,13.09,10,M1,old,-0.20750988142292487,0.1143142144638404,False,neutral
2I1,10.27,10,M1,old,-0.20750988142292487,0.1143142144638404,False,neutral
8B3,13.09,10,M1,old,0.26798418972332017,0.06708229426433915,False,neutral
74K,20.81,10,M1,old,-0.049011857707509855,0.2857356608478803,False,neutral
1P5,6.21,10,M1,young,-0.20750988142292487,0.1143142144638404,False,neutral
2C6,14.03,10,M1,old,0.4264822134387352,0.009825436408977557,True,neutral
77V,16.15,10,M1,old,-0.049011857707509855,0.2857356608478803,False,neutral
82V,16.01,10,M1,old,-0.049011857707509855,0.2857356608478803,False,neutral
3K1,9.01,10,M1,young,-0.049011857707509855,0.2857356608478803,False,neutral
50P,15.59,10,M1,old,-0.049011857707509855,0.2857356608478803,False,neutral
97R,17.93,10,M1,old,-0.049011857707509855,0.2857356608478803,False,neutral
0B9,12.11,10,M1,old,0.4264822134387352,0.009825436408977557,True,neutral
2F2,11.04,10,M1,old,0.10948616600790517,0.22349127182044887,False,neutral
82V,16.01,10,M1,old,-0.20750988142292487,0.1143142144638404,False,neutral
3T5,5.12,10,M1,young,-0.3660079051383399,0.03129675810473816,True,neutral
2I1,10.27,10,M1,old,-0.049011857707509855,0.2857356608478803,False,neutral
2F2,11.04,10,M1,old,-0.20750988142292487,0.1143142144638404,False,neutral
0B9,12.11,10,M1,old,0.26798418972332017,0.06708229426433915,False,neutral
56K,19.93,10,M1,old,0.26798418972332017,0.06708229426433915,False,neutral
3T5,5.12,10,M1,young,0.10948616600790517,0.22349127182044887,False,neutral
1G8,7.88,10,M1,young,0.4264822134387352,0.009825436408977557,True,neutral
77V,16.15,10,M1,old,-0.20750988142292487,0.1143142144638404,False,neutral
8H2,10.13,10,M1,old,0.10948616600790517,0.22349127182044887,False,neutral
3K1,9.01,10,M1,young,-0.049011857707509855,0.2857356608478803,False,neutral
5H6,11.03,10,M1,old,0.26798418972332017,0.06708229426433915,False,neutral
3K1,9.01,10,M1,young,0.10948616600790517,0.22349127182044887,False,neutral
3K1,9.01,10,M1,young,-0.20750988142292487,0.1143142144638404,False,neutral
98V,16.03,10,M1,old,0.26798418972332017,0.06708229426433915,False,neutral
77V,16.15,10,M1,old,0.4264822134387352,0.009825436408977557,True,neutral
5H6,11.03,10,M1,old,-0.20750988142292487,0.1143142144638404,False,neutral
4J6,7.15,10,M1,young,0.10948616600790517,0.22349127182044887,False,neutral
2T2,4.09,10,M1,young,-0.5245059288537549,0.005635910224438902,True,young_enriched
2S2,6.31,10,M1,young,-0.049011857707509855,0.2857356608478803,False,neutral
98V,16.03,10,M1,old,0.10948616600790517,0.22349127182044887,False,neutral
77V,16.15,10,M1,old,-0.049011857707509855,0.2857356608478803,False,neutral
0G3,9.1,10,M1,young,-0.20750988142292487,0.1143142144638404,False,neutral
3T5,5.12,10,M1,young,-0.049011857707509855,0.2857356608478803,False,neutral
77V,16.15,10,M1,old,-0.20750988142292487,0.1143142144638404,False,neutral
3T5,5.12,10,M1,young,-0.20750988142292487,0.1143142144638404,False,neutral
2V1,4.3,10,M1,young,-0.049011857707509855,0.2857356608478803,False,neutral
77V,16.15,10,M1,old,-0.049011857707509855,0.2857356608478803,False,neutral
6D9,13.11,10,M1,old,0.4264822134387352,0.009825436408977557,True,neutral
55R,14.97,10,M1,old,-0.049011857707509855,0.2857356608478803,False,neutral
3K1,9.01,10,M1,young,-0.5245059288537549,0.005635910224438902,True,young_enriched
50P,15.59,10,M1,old,0.4264822134387352,0.009825436408977557,True,neutral
56K,19.93,10,M1,old,-0.049011857707509855,0.2857356608478803,False,neutral
6O7,6.03,10,M1,young,-0.049011857707509855,0.2857356608478803,False,neutral
0G3,9.1,10,M1,young,0.26798418972332017,0.06708229426433915,False,neutral
31S,17.0,10,M1,old,0.26798418972332017,0.06708229426433915,False,neutral
8H2,10.13,10,M1,old,-0.20750988142292487,0.1143142144638404,False,neutral
8H2,10.13,10,M1,old,0.26798418972332017,0.06708229426433915,False,neutral
4Q6,3.22,10,M1,young,-0.20750988142292487,0.1143142144638404,False,neutral
91O,15.86,10,M1,old,0.4264822134387352,0.009825436408977557,True,neutral
8B3,13.09,10,M1,old,0.5849802371541503,0.009825436408977557,True,old_enriched
91O,15.86,10,M1,old,0.26798418972332017,0.06708229426433915,False,neutral
98V,16.03,10,M1,old,0.10948616600790517,0.22349127182044887,False,neutral
5R4,6.25,10,M1,young,0.10948616600790517,0.22349127182044887,False,neutral
8B3,13.09,10,M1,old,0.4264822134387352,0.009825436408977557,True,neutral
2S2,6.31,10,M1,young,-0.841501976284585,9.975062344139652e-05,True,young_enriched
6L4,8.2,10,M1,young,-0.049011857707509855,0.2857356608478803,False,neutral
2S2,6.31,10,M1,young,0.10948616600790517,0.22349127182044887,False,neutral
6O7,6.03,10,M1,young,-0.3660079051383399,0.03129675810473816,True,neutral
77V,16.15,10,M1,old,-0.3660079051383399,0.03129675810473816,True,neutral
7M4,8.15,10,M1,young,-0.20750988142292487,0.1143142144638404,False,neutral
4J6,7.15,10,M1,young,-0.20750988142292487,0.1143142144638404,False,neutral
6D9,13.11,10,M1,old,0.4264822134387352,0.009825436408977557,True,neutral
4J6,7.15,10,M1,young,-0.20750988142292487,0.1143142144638404,False,neutral
82V,16.01,10,M1,old,0.26798418972332017,0.06708229426433915,False,neutral
6O7,6.03,10,M1,young,-0.049011857707509855,0.2857356608478803,False,neutral
82V,16.01,10,M1,old,0.26798418972332017,0.06708229426433915,False,neutral
8B3,13.09,10,M1,old,-0.3660079051383399,0.03129675810473816,True,neutral
77V,16.15,10,M1,old,-0.5245059288537549,0.005635910224438902,True,young_enriched
8H2,10.13,10,M1,old,0.4264822134387352,0.009825436408977557,True,neutral
8B3,13.09,10,M1,old,-0.20750988142292487,0.1143142144638404,False,neutral
2F2,11.04,10,M1,old,-0.049011857707509855,0.2857356608478803,False,neutral
42T,15.96,10,M1,old,0.26798418972332017,0.06708229426433915,False,neutral
8M0,8.12,10,M1,young,-0.049011857707509855,0.2857356608478803,False,neutral
6D9,13.11,10,M1,old,0.10948616600790517,0.22349127182044887,False,neutral
2V1,4.3,10,M1,young,0.10948616600790517,0.22349127182044887,False,neutral
55R,14.97,10,M1,old,0.26798418972332017,0.06708229426433915,False,neutral
1V8,4.31,10,M1,young,-0.049011857707509855,0.2857356608478803,False,neutral
91O,15.86,10,M1,old,0.10948616600790517,0.22349127182044887,False,neutral
8C9,12.12,10,M1,old,-0.3660079051383399,0.03129675810473816,True,neutral
77V,16.15,10,M1,old,-0.3660079051383399,0.03129675810473816,True,neutral
4S3,3.18,10,M1,young,-0.20750988142292487,0.1143142144638404,False,neutral
91O,15.86,10,M1,old,0.4264822134387352,0.009825436408977557,True,neutral
46Z,13.97,10,M1,old,0.26798418972332017,0.06708229426433915,False,neutral
91O,15.86,10,M1,old,0.4264822134387352,0.009825436408977557,True,neutral
0B9,12.11,10,M1,old,-0.3660079051383399,0.03129675810473816,True,neutral
6O7,6.03,10,M1,young,-0.049011857707509855,0.2857356608478803,False,neutral
56K,19.93,10,M1,old,-0.20750988142292487,0.1143142144638404,False,neutral
55R,14.97,10,M1,old,0.26798418972332017,0.06708229426433915,False,neutral
74K,20.81,10,M1,old,-0.049011857707509855,0.2857356608478803,False,neutral
2C6,14.03,10,M1,old,0.26798418972332017,0.06708229426433915,False,neutral
77V,16.15,10,M1,old,-0.049011857707509855,0.2857356608478803,False,neutral
6O7,6.03,10,M1,young,-0.20750988142292487,0.1143142144638404,False,neutral
3K1,9.01,10,M1,young,-0.5245059288537549,0.005635910224438902,True,young_enriched
8H2,10.13,10,M1,old,-0.049011857707509855,0.2857356608478803,False,neutral
2I1,10.27,10,M1,old,0.10948616600790517,0.22349127182044887,False,neutral
37V,15.07,10,M1,old,0.5849802371541503,0.009825436408977557,True,old_enriched
91O,15.86,10,M1,old,0.26798418972332017,0.06708229426433915,False,neutral
31S,17.0,10,M1,old,0.26798418972332017,0.06708229426433915,False,neutral
55R,14.97,10,M1,old,0.5849802371541503,0.009825436408977557,True,old_enriched
8H2,10.13,10,M1,old,-0.3660079051383399,0.03129675810473816,True,neutral
2T2,4.09,10,M1,young,-0.5245059288537549,0.005635910224438902,True,young_enriched
42T,15.96,10,M1,old,-0.20750988142292487,0.1143142144638404,False,neutral
55R,14.97,10,M1,old,-0.049011857707509855,0.2857356608478803,False,neutral
3T5,5.12,10,M1,young,-0.3660079051383399,0.03129675810473816,True,neutral
3R7,3.32,10,M1,young,-0.3660079051383399,0.03129675810473816,True,neutral
7F0,11.2,10,M1,old,-0.3660079051383399,0.03129675810473816,True,neutral
4S3,3.18,10,M1,young,-0.20750988142292487,0.1143142144638404,False,neutral
8B3,13.09,10,M1,old,-0.049011857707509855,0.2857356608478803,False,neutral
1G8,7.88,10,M1,young,-0.20750988142292487,0.1143142144638404,False,neutral
8M0,8.12,10,M1,young,-0.20750988142292487,0.1143142144638404,False,neutral
8M0,8.12,10,M1,young,-0.049011857707509855,0.2857356608478803,False,neutral
8B3,13.09,10,M1,old,-0.20750988142292487,0.1143142144638404,False,neutral
2C6,14.03,10,M1,old,-0.049011857707509855,0.2857356608478803,False,neutral
6L4,8.2,10,M1,young,-0.049011857707509855,0.2857356608478803,False,neutral
2I1,10.27,10,M1,old,-0.049011857707509855,0.2857356608478803,False,neutral
3T5,5.12,10,M1,young,-0.841501976284585,9.975062344139652e-05,True,young_enriched
4Q6,3.22,10,M1,young,-0.049011857707509855,0.2857356608478803,False,neutral
2C6,14.03,10,M1,old,-0.20750988142292487,0.1143142144638404,False,neutral
