animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
74K,20.81,7,mdTN,old,-0.037796976241900586,0.5781818181818181,False,neutral
8I6,9.9,7,mdTN,young,-0.037796976241900586,0.5781818181818181,False,neutral
3K1,9.01,7,mdTN,young,0.1546436285097193,0.2021885521885522,False,neutral
3R7,3.32,7,mdTN,young,-0.23023758099352046,0.33230078563411897,False,neutral
0B9,12.11,7,mdTN,old,0.1546436285097193,0.2021885521885522,False,neutral
2S6,3.17,7,mdTN,young,0.1546436285097193,0.2021885521885522,False,neutral
42T,15.96,7,mdTN,old,-0.4226781857451404,0.04164983164983165,True,neutral
56K,19.93,7,mdTN,old,0.3470842332613392,0.06823793490460157,False,neutral
2S6,3.17,7,mdTN,young,-0.6151187904967602,0.04164983164983165,True,young_enriched
91O,15.86,7,mdTN,old,0.3470842332613392,0.06823793490460157,False,neutral
0G3,9.1,7,mdTN,young,-0.037796976241900586,0.5781818181818181,False,neutral
74K,20.81,7,mdTN,old,-0.23023758099352046,0.33230078563411897,False,neutral
6O7,6.03,7,mdTN,young,-0.037796976241900586,0.5781818181818181,False,neutral
6O7,6.03,7,mdTN,young,0.3470842332613392,0.06823793490460157,False,neutral
3E4,11.99,7,mdTN,old,0.1546436285097193,0.2021885521885522,False,neutral
0G3,9.1,7,mdTN,young,-0.037796976241900586,0.5781818181818181,False,neutral
1G8,7.88,7,mdTN,young,0.539524838012959,0.06823793490460157,False,old_enriched
77V,16.15,7,mdTN,old,-0.037796976241900586,0.5781818181818181,False,neutral
3K1,9.01,7,mdTN,young,0.1546436285097193,0.2021885521885522,False,neutral
3E4,11.99,7,mdTN,old,0.1546436285097193,0.2021885521885522,False,neutral
2S6,3.17,7,mdTN,young,-0.037796976241900586,0.5781818181818181,False,neutral
4S3,3.18,7,mdTN,young,-0.23023758099352046,0.33230078563411897,False,neutral
2F2,11.04,7,mdTN,old,0.1546436285097193,0.2021885521885522,False,neutral
56R,14.95,7,mdTN,old,0.731965442764579,0.0015039281705948372,True,old_enriched
74K,20.81,7,mdTN,old,0.1546436285097193,0.2021885521885522,False,neutral
2C6,14.03,7,mdTN,old,-0.037796976241900586,0.5781818181818181,False,neutral
91O,15.86,7,mdTN,old,0.1546436285097193,0.2021885521885522,False,neutral
1P5,6.21,7,mdTN,young,-0.037796976241900586,0.5781818181818181,False,neutral
2Q0,3.21,7,mdTN,young,-0.23023758099352046,0.33230078563411897,False,neutral
8M0,8.12,7,mdTN,young,0.3470842332613392,0.06823793490460157,False,neutral
3D1,13.11,7,mdTN,old,-0.23023758099352046,0.33230078563411897,False,neutral
1G8,7.88,7,mdTN,young,0.1546436285097193,0.2021885521885522,False,neutral
97R,17.93,7,mdTN,old,0.3470842332613392,0.06823793490460157,False,neutral
1V8,4.31,7,mdTN,young,-0.23023758099352046,0.33230078563411897,False,neutral
0B9,12.11,7,mdTN,old,-0.037796976241900586,0.5781818181818181,False,neutral
1P5,6.21,7,mdTN,young,-0.4226781857451404,0.04164983164983165,True,neutral
74K,20.81,7,mdTN,old,-0.23023758099352046,0.33230078563411897,False,neutral
2C6,14.03,7,mdTN,old,0.3470842332613392,0.06823793490460157,False,neutral
3E4,11.99,7,mdTN,old,0.1546436285097193,0.2021885521885522,False,neutral
74K,20.81,7,mdTN,old,0.1546436285097193,0.2021885521885522,False,neutral
37V,15.07,7,mdTN,old,0.3470842332613392,0.06823793490460157,False,neutral
2C6,14.03,7,mdTN,old,-0.6151187904967602,0.04164983164983165,True,young_enriched
3E4,11.99,7,mdTN,old,0.3470842332613392,0.06823793490460157,False,neutral
2T2,4.09,7,mdTN,young,0.3470842332613392,0.06823793490460157,False,neutral
0G3,9.1,7,mdTN,young,-0.037796976241900586,0.5781818181818181,False,neutral
0G3,9.1,7,mdTN,young,-0.4226781857451404,0.04164983164983165,True,neutral
7F0,11.2,7,mdTN,old,0.539524838012959,0.06823793490460157,False,old_enriched
0G3,9.1,7,mdTN,young,-0.23023758099352046,0.33230078563411897,False,neutral
50P,15.59,7,mdTN,old,-0.23023758099352046,0.33230078563411897,False,neutral
4J6,7.15,7,mdTN,young,-0.23023758099352046,0.33230078563411897,False,neutral
4J6,7.15,7,mdTN,young,-0.23023758099352046,0.33230078563411897,False,neutral
8C9,12.12,7,mdTN,old,0.3470842332613392,0.06823793490460157,False,neutral
8C9,12.12,7,mdTN,old,-0.4226781857451404,0.04164983164983165,True,neutral
2S6,3.17,7,mdTN,young,-0.23023758099352046,0.33230078563411897,False,neutral
8H2,10.13,7,mdTN,old,0.1546436285097193,0.2021885521885522,False,neutral
98V,16.03,7,mdTN,old,-0.23023758099352046,0.33230078563411897,False,neutral
1P5,6.21,7,mdTN,young,0.1546436285097193,0.2021885521885522,False,neutral
4S3,3.18,7,mdTN,young,0.1546436285097193,0.2021885521885522,False,neutral
82V,16.01,7,mdTN,old,-0.23023758099352046,0.33230078563411897,False,neutral
50P,15.59,7,mdTN,old,-0.23023758099352046,0.33230078563411897,False,neutral
46Z,13.97,7,mdTN,old,0.3470842332613392,0.06823793490460157,False,neutral
82V,16.01,7,mdTN,old,-0.037796976241900586,0.5781818181818181,False,neutral
82V,16.01,7,mdTN,old,-0.4226781857451404,0.04164983164983165,True,neutral
56R,14.95,7,mdTN,old,0.1546436285097193,0.2021885521885522,False,neutral
97R,17.93,7,mdTN,old,-0.23023758099352046,0.33230078563411897,False,neutral
97R,17.93,7,mdTN,old,-0.23023758099352046,0.33230078563411897,False,neutral
3T5,5.12,7,mdTN,young,-0.037796976241900586,0.5781818181818181,False,neutral
2S6,3.17,7,mdTN,young,0.1546436285097193,0.2021885521885522,False,neutral
50P,15.59,7,mdTN,old,-0.037796976241900586,0.5781818181818181,False,neutral
1V8,4.31,7,mdTN,young,-0.4226781857451404,0.04164983164983165,True,neutral
1P5,6.21,7,mdTN,young,0.1546436285097193,0.2021885521885522,False,neutral
1V8,4.31,7,mdTN,young,0.1546436285097193,0.2021885521885522,False,neutral
3E4,11.99,7,mdTN,old,-0.037796976241900586,0.5781818181818181,False,neutral
8I6,9.9,7,mdTN,young,0.3470842332613392,0.06823793490460157,False,neutral
56R,14.95,7,mdTN,old,-0.23023758099352046,0.33230078563411897,False,neutral
98V,16.03,7,mdTN,old,0.1546436285097193,0.2021885521885522,False,neutral
55R,14.97,7,mdTN,old,-0.23023758099352046,0.33230078563411897,False,neutral
98V,16.03,7,mdTN,old,-0.23023758099352046,0.33230078563411897,False,neutral
74K,20.81,7,mdTN,old,-0.037796976241900586,0.5781818181818181,False,neutral
74K,20.81,7,mdTN,old,0.1546436285097193,0.2021885521885522,False,neutral
50P,15.59,7,mdTN,old,-0.4226781857451404,0.04164983164983165,True,neutral
5R4,6.25,7,mdTN,young,-0.6151187904967602,0.04164983164983165,True,young_enriched
1V8,4.31,7,mdTN,young,-0.23023758099352046,0.33230078563411897,False,neutral
6O7,6.03,7,mdTN,young,-0.037796976241900586,0.5781818181818181,False,neutral
98V,16.03,7,mdTN,old,0.3470842332613392,0.06823793490460157,False,neutral
74K,20.81,7,mdTN,old,0.3470842332613392,0.06823793490460157,False,neutral
2S6,3.17,7,mdTN,young,-0.037796976241900586,0.5781818181818181,False,neutral
55R,14.97,7,mdTN,old,0.1546436285097193,0.2021885521885522,False,neutral
77V,16.15,7,mdTN,old,-0.23023758099352046,0.33230078563411897,False,neutral
4J6,7.15,7,mdTN,young,-0.4226781857451404,0.04164983164983165,True,neutral
41N,16.74,7,mdTN,old,0.3470842332613392,0.06823793490460157,False,neutral
2S2,6.31,7,mdTN,young,-0.037796976241900586,0.5781818181818181,False,neutral
3K1,9.01,7,mdTN,young,-0.037796976241900586,0.5781818181818181,False,neutral
4J6,7.15,7,mdTN,young,0.3470842332613392,0.06823793490460157,False,neutral
6L4,8.2,7,mdTN,young,-0.23023758099352046,0.33230078563411897,False,neutral
4Q6,3.22,7,mdTN,young,-0.037796976241900586,0.5781818181818181,False,neutral
4J6,7.15,7,mdTN,young,-0.037796976241900586,0.5781818181818181,False,neutral
7F0,11.2,7,mdTN,old,-0.037796976241900586,0.5781818181818181,False,neutral
43N,17.0,7,mdTN,old,0.1546436285097193,0.2021885521885522,False,neutral
2S6,3.17,7,mdTN,young,-0.4226781857451404,0.04164983164983165,True,neutral
56R,14.95,7,mdTN,old,-0.23023758099352046,0.33230078563411897,False,neutral
56R,14.95,7,mdTN,old,-0.4226781857451404,0.04164983164983165,True,neutral
2V1,4.3,7,mdTN,young,-0.037796976241900586,0.5781818181818181,False,neutral
74K,20.81,7,mdTN,old,0.3470842332613392,0.06823793490460157,False,neutral
74K,20.81,7,mdTN,old,0.1546436285097193,0.2021885521885522,False,neutral
43N,17.0,7,mdTN,old,-0.23023758099352046,0.33230078563411897,False,neutral
8H2,10.13,7,mdTN,old,-0.23023758099352046,0.33230078563411897,False,neutral
74K,20.81,7,mdTN,old,-0.037796976241900586,0.5781818181818181,False,neutral
2Q0,3.21,7,mdTN,young,-0.23023758099352046,0.33230078563411897,False,neutral
50P,15.59,7,mdTN,old,-0.037796976241900586,0.5781818181818181,False,neutral
0G3,9.1,7,mdTN,young,-0.037796976241900586,0.5781818181818181,False,neutral
56R,14.95,7,mdTN,old,0.1546436285097193,0.2021885521885522,False,neutral
8I6,9.9,7,mdTN,young,-0.6151187904967602,0.04164983164983165,True,young_enriched
2Q0,3.21,7,mdTN,young,0.3470842332613392,0.06823793490460157,False,neutral
97R,17.93,7,mdTN,old,-0.037796976241900586,0.5781818181818181,False,neutral
1L1,8.17,7,mdTN,young,-0.23023758099352046,0.33230078563411897,False,neutral
7F0,11.2,7,mdTN,old,0.3470842332613392,0.06823793490460157,False,neutral
74K,20.81,7,mdTN,old,-0.23023758099352046,0.33230078563411897,False,neutral
4S3,3.18,7,mdTN,young,-0.23023758099352046,0.33230078563411897,False,neutral
50P,15.59,7,mdTN,old,-0.23023758099352046,0.33230078563411897,False,neutral
97R,17.93,7,mdTN,old,-0.23023758099352046,0.33230078563411897,False,neutral
74K,20.81,7,mdTN,old,-0.037796976241900586,0.5781818181818181,False,neutral
2Q0,3.21,7,mdTN,young,-0.037796976241900586,0.5781818181818181,False,neutral
4S3,3.18,7,mdTN,young,-0.037796976241900586,0.5781818181818181,False,neutral
43N,17.0,7,mdTN,old,0.1546436285097193,0.2021885521885522,False,neutral
2S6,3.17,7,mdTN,young,-0.6151187904967602,0.04164983164983165,True,young_enriched
41N,16.74,7,mdTN,old,-0.037796976241900586,0.5781818181818181,False,neutral
1V8,4.31,7,mdTN,young,-0.4226781857451404,0.04164983164983165,True,neutral
6D9,13.11,7,mdTN,old,-0.4226781857451404,0.04164983164983165,True,neutral
6D9,13.11,7,mdTN,old,0.1546436285097193,0.2021885521885522,False,neutral
77V,16.15,7,mdTN,old,-0.037796976241900586,0.5781818181818181,False,neutral
56R,14.95,7,mdTN,old,-0.037796976241900586,0.5781818181818181,False,neutral
2T2,4.09,7,mdTN,young,-0.23023758099352046,0.33230078563411897,False,neutral
7F0,11.2,7,mdTN,old,-0.4226781857451404,0.04164983164983165,True,neutral
1P5,6.21,7,mdTN,young,0.1546436285097193,0.2021885521885522,False,neutral
8I6,9.9,7,mdTN,young,-0.6151187904967602,0.04164983164983165,True,young_enriched
2Q0,3.21,7,mdTN,young,-0.23023758099352046,0.33230078563411897,False,neutral
8M0,8.12,7,mdTN,young,-0.4226781857451404,0.04164983164983165,True,neutral
8B3,13.09,7,mdTN,old,0.3470842332613392,0.06823793490460157,False,neutral
6O7,6.03,7,mdTN,young,0.1546436285097193,0.2021885521885522,False,neutral
74K,20.81,7,mdTN,old,0.1546436285097193,0.2021885521885522,False,neutral
6O7,6.03,7,mdTN,young,-0.23023758099352046,0.33230078563411897,False,neutral
8B3,13.09,7,mdTN,old,0.1546436285097193,0.2021885521885522,False,neutral
2C6,14.03,7,mdTN,old,-0.23023758099352046,0.33230078563411897,False,neutral
1G8,7.88,7,mdTN,young,-0.23023758099352046,0.33230078563411897,False,neutral
2T2,4.09,7,mdTN,young,-0.037796976241900586,0.5781818181818181,False,neutral
82V,16.01,7,mdTN,old,0.1546436285097193,0.2021885521885522,False,neutral
8M0,8.12,7,mdTN,young,-0.23023758099352046,0.33230078563411897,False,neutral
6O7,6.03,7,mdTN,young,-0.037796976241900586,0.5781818181818181,False,neutral
3T5,5.12,7,mdTN,young,0.3470842332613392,0.06823793490460157,False,neutral
82V,16.01,7,mdTN,old,-0.6151187904967602,0.04164983164983165,True,young_enriched
6O7,6.03,7,mdTN,young,0.1546436285097193,0.2021885521885522,False,neutral
2T6,5.18,7,mdTN,young,-0.6151187904967602,0.04164983164983165,True,young_enriched
8M0,8.12,7,mdTN,young,0.1546436285097193,0.2021885521885522,False,neutral
1L1,8.17,7,mdTN,young,0.1546436285097193,0.2021885521885522,False,neutral
43N,17.0,7,mdTN,old,-0.6151187904967602,0.04164983164983165,True,young_enriched
77V,16.15,7,mdTN,old,-0.23023758099352046,0.33230078563411897,False,neutral
74K,20.81,7,mdTN,old,-0.037796976241900586,0.5781818181818181,False,neutral
82V,16.01,7,mdTN,old,-0.4226781857451404,0.04164983164983165,True,neutral
2T2,4.09,7,mdTN,young,-0.23023758099352046,0.33230078563411897,False,neutral
6L4,8.2,7,mdTN,young,0.539524838012959,0.06823793490460157,False,old_enriched
0B9,12.11,7,mdTN,old,0.9244060475161988,0.0015039281705948372,True,old_enriched
3E4,11.99,7,mdTN,old,-0.4226781857451404,0.04164983164983165,True,neutral
6D9,13.11,7,mdTN,old,-0.037796976241900586,0.5781818181818181,False,neutral
2V1,4.3,7,mdTN,young,0.3470842332613392,0.06823793490460157,False,neutral
0G3,9.1,7,mdTN,young,-0.037796976241900586,0.5781818181818181,False,neutral
43N,17.0,7,mdTN,old,-0.23023758099352046,0.33230078563411897,False,neutral
56R,14.95,7,mdTN,old,0.3470842332613392,0.06823793490460157,False,neutral
8B3,13.09,7,mdTN,old,0.1546436285097193,0.2021885521885522,False,neutral
2S6,3.17,7,mdTN,young,-0.23023758099352046,0.33230078563411897,False,neutral
4S3,3.18,7,mdTN,young,-0.037796976241900586,0.5781818181818181,False,neutral
2F2,11.04,7,mdTN,old,-0.037796976241900586,0.5781818181818181,False,neutral
3D1,13.11,7,mdTN,old,0.1546436285097193,0.2021885521885522,False,neutral
1L1,8.17,7,mdTN,young,-0.23023758099352046,0.33230078563411897,False,neutral
3E4,11.99,7,mdTN,old,0.539524838012959,0.06823793490460157,False,old_enriched
6O7,6.03,7,mdTN,young,0.3470842332613392,0.06823793490460157,False,neutral
50P,15.59,7,mdTN,old,-0.037796976241900586,0.5781818181818181,False,neutral
1V8,4.31,7,mdTN,young,0.1546436285097193,0.2021885521885522,False,neutral
56K,19.93,7,mdTN,old,-0.6151187904967602,0.04164983164983165,True,young_enriched
56K,19.93,7,mdTN,old,-0.23023758099352046,0.33230078563411897,False,neutral
2S6,3.17,7,mdTN,young,-0.6151187904967602,0.04164983164983165,True,young_enriched
97R,17.93,7,mdTN,old,-0.037796976241900586,0.5781818181818181,False,neutral
1V8,4.31,7,mdTN,young,-0.037796976241900586,0.5781818181818181,False,neutral
43N,17.0,7,mdTN,old,-0.23023758099352046,0.33230078563411897,False,neutral
1P5,6.21,7,mdTN,young,-0.4226781857451404,0.04164983164983165,True,neutral
4S3,3.18,7,mdTN,young,0.1546436285097193,0.2021885521885522,False,neutral
1G8,7.88,7,mdTN,young,0.1546436285097193,0.2021885521885522,False,neutral
4J6,7.15,7,mdTN,young,-0.4226781857451404,0.04164983164983165,True,neutral
1G8,7.88,7,mdTN,young,0.1546436285097193,0.2021885521885522,False,neutral
5R4,6.25,7,mdTN,young,-0.8075593952483802,0.0005611672278338945,True,young_enriched
3E4,11.99,7,mdTN,old,0.3470842332613392,0.06823793490460157,False,neutral
7M4,8.15,7,mdTN,young,-0.037796976241900586,0.5781818181818181,False,neutral
43N,17.0,7,mdTN,old,-0.037796976241900586,0.5781818181818181,False,neutral
6O7,6.03,7,mdTN,young,-0.23023758099352046,0.33230078563411897,False,neutral
77V,16.15,7,mdTN,old,-0.23023758099352046,0.33230078563411897,False,neutral
1P5,6.21,7,mdTN,young,0.3470842332613392,0.06823793490460157,False,neutral
56R,14.95,7,mdTN,old,-0.23023758099352046,0.33230078563411897,False,neutral
8H2,10.13,7,mdTN,old,0.1546436285097193,0.2021885521885522,False,neutral
77V,16.15,7,mdTN,old,-0.23023758099352046,0.33230078563411897,False,neutral
7F0,11.2,7,mdTN,old,0.3470842332613392,0.06823793490460157,False,neutral
56K,19.93,7,mdTN,old,0.1546436285097193,0.2021885521885522,False,neutral
1G8,7.88,7,mdTN,young,-0.23023758099352046,0.33230078563411897,False,neutral
2T2,4.09,7,mdTN,young,-0.037796976241900586,0.5781818181818181,False,neutral
2V1,4.3,7,mdTN,young,0.731965442764579,0.0015039281705948372,True,old_enriched
3R7,3.32,7,mdTN,young,-0.037796976241900586,0.5781818181818181,False,neutral
1T9,4.11,7,mdTN,young,-0.037796976241900586,0.5781818181818181,False,neutral
4S3,3.18,7,mdTN,young,-0.037796976241900586,0.5781818181818181,False,neutral
8M0,8.12,7,mdTN,young,-0.037796976241900586,0.5781818181818181,False,neutral
4Q6,3.22,7,mdTN,young,0.1546436285097193,0.2021885521885522,False,neutral
77V,16.15,7,mdTN,old,-0.4226781857451404,0.04164983164983165,True,neutral
8M0,8.12,7,mdTN,young,-0.23023758099352046,0.33230078563411897,False,neutral
2F2,11.04,7,mdTN,old,0.1546436285097193,0.2021885521885522,False,neutral
74K,20.81,7,mdTN,old,0.1546436285097193,0.2021885521885522,False,neutral
74K,20.81,7,mdTN,old,-0.23023758099352046,0.33230078563411897,False,neutral
56R,14.95,7,mdTN,old,0.3470842332613392,0.06823793490460157,False,neutral
5R4,6.25,7,mdTN,young,-0.037796976241900586,0.5781818181818181,False,neutral
91O,15.86,7,mdTN,old,-0.4226781857451404,0.04164983164983165,True,neutral
6O7,6.03,7,mdTN,young,0.1546436285097193,0.2021885521885522,False,neutral
4S3,3.18,7,mdTN,young,0.3470842332613392,0.06823793490460157,False,neutral
4Q6,3.22,7,mdTN,young,0.1546436285097193,0.2021885521885522,False,neutral
1V8,4.31,7,mdTN,young,-0.037796976241900586,0.5781818181818181,False,neutral
97R,17.93,7,mdTN,old,-0.037796976241900586,0.5781818181818181,False,neutral
7M4,8.15,7,mdTN,young,-0.037796976241900586,0.5781818181818181,False,neutral
2Q0,3.21,7,mdTN,young,0.3470842332613392,0.06823793490460157,False,neutral
55R,14.97,7,mdTN,old,-0.6151187904967602,0.04164983164983165,True,young_enriched
97R,17.93,7,mdTN,old,-0.037796976241900586,0.5781818181818181,False,neutral
6O7,6.03,7,mdTN,young,-0.6151187904967602,0.04164983164983165,True,young_enriched
2S6,3.17,7,mdTN,young,-0.23023758099352046,0.33230078563411897,False,neutral
2S6,3.17,7,mdTN,young,0.1546436285097193,0.2021885521885522,False,neutral
4S3,3.18,7,mdTN,young,-0.4226781857451404,0.04164983164983165,True,neutral
56R,14.95,7,mdTN,old,0.1546436285097193,0.2021885521885522,False,neutral
6O7,6.03,7,mdTN,young,-0.23023758099352046,0.33230078563411897,False,neutral
37V,15.07,7,mdTN,old,0.539524838012959,0.06823793490460157,False,old_enriched
